KEY,en
ABILITY_BLOCK_NAME,Блок
ABILITY_BLOCK_DESC,+2 [img:shield].
ABILITY_BLOCK2_DESC,+5 [img:shield].
ABILITY_REST_NAME,Отдых
ABILITY_REST_DESC,"Восстановить немного ОЗ, затем уснуть."
ABILITY_REST2_DESC,"Восстановить много ОЗ, затем уснуть."
ABLITY_BRACE_NAME,Стойка
ABLITY_BRACE_DESC,+1 временная Стойка до вашего следующего хода.
ABLITY_BRACE2_DESC,+1 временная Стойка и +1 временные Шипы до вашего следующего хода.
ABILITY_GROOM_NAME,Вылизывание
ABILITY_GROOM_DESC,Снять все ослабления с себя или соседнего юнита.
ABILITY_GROOM2_DESC,Снять все ослабления и восстановить немного ОЗ себе или соседнему юниту.
ABILITY_ROLL_NAME,Кувырок
ABILITY_ROLL_DESC,Кувырок на 3 клетки по прямой.
ABILITY_ROLL2_DESC,Кувырок на 10 клеток по прямой.
ABILITY_SHARPENCLAWS_NAME,Заточить когти
ABILITY_SHARPENCLAWS_DESC,+1 [img:str].
ABILITY_SHARPENCLAWS2_DESC,"+1 [img:str].
Бонусный пассив: Базовая атака накладывает Кровотечение."
ABILITY_REACH_NAME,Досягаемость
ABILITY_REACH_DESC,Следующая базовая атака имеет +1 к дальности.
ABILITY_REACH2_DESC,Следующая базовая атака имеет +3 к дальности.
ABILITY_BORROWMANA_NAME,Одолжить ману
ABILITY_BORROWMANA_DESC,"Украсть до 5 маны у союзника.
[s:.7](Можно использовать раз в ход.)[/s]"
ABILITY_BORROWMANA2_DESC,"Украсть всю ману союзника.
[s:.7](Можно использовать раз в ход.)[/s]"
ABILITY_SOOTHINGGLOW_NAME,Мягкое свечение
ABILITY_SOOTHINGGLOW_DESC,Исцелить себя на 1.
ABILITY_SOOTHINGGLOW2_DESC,Исцелить себя на 1 и получить +1 к случайной характеристике.
ABILITY_PONDER_NAME,Размышление
ABILITY_PONDER_DESC,+1 [img:int].
ABILITY_PONDER2_DESC,+1 [img:int] и вызвать случайную бонусную способность.
ABILITY_FOCUS_NAME,Фокусировка
ABILITY_FOCUS_DESC,Получить +1 [img:dex].
ABILITY_FOCUS2_DESC,"+1 [img:dex].
Бонусный пассив: +25% шанс критического удара."
ABILITY_METABOLIZE_NAME,Метаболизм
ABILITY_METABOLIZE_DESC,Получить +1 [img:con].
ABILITY_METABOLIZE2_DESC,"+1 [img:con].
Бонусный пассив: +3 к регенерации здоровья."
ABILITY_BRAINSTORM_NAME,Мозговой штурм
ABILITY_BRAINSTORM_DESC,Снизить стоимость остальных заклинаний на 1 ману.
ABILITY_BRAINSTORM2_DESC,Снизить стоимость ВСЕХ заклинаний на 1 ману.
ABILITY_CLAWSOUT_NAME,Когти наружу
ABILITY_CLAWSOUT_DESC,+1 к Шипам.
ABILITY_CLAWSOUT2_DESC,"+1 к Шипам.
[s:.7](Это заклинание стоит меньше.)[/s]"
ABILITY_PREPARETOJUMP_NAME,Прыг
ABILITY_PREPARETOJUMP_DESC,Прыжок на 2 клетки.
ABILITY_PREPARETOJUMP2_DESC,Прыжок на 4 клетки.
ABILITY_SPELLBOOSTRANGE_NAME,Усиление
ABILITY_SPELLBOOSTRANGE_DESC,+1 к магическому урону до конца хода.
ABILITY_SPELLBOOSTRANGE2_DESC,"+1 к магическому урону до конца хода.
[s:.7](Это заклинание стоит меньше.)[/s]"
ABILITY_STEAMROLLER_NAME,Каток
ABILITY_STEAMROLLER_DESC,Протоптать 1 клетку.
