KEY,en
CURRENT_LANGUAGE_NAME,Русский
CURRENT_LANGUAGE_SHIPPABLE,yes
,
SONG_UNLOCK_CREDITS_1,"""Get in the Cage"" добавлена в плейлист радио!"
SONG_UNLOCK_CREDITS_2,"""Future Meets the Past"" добавлена в плейлист радио!"
,
,
CONTROL_BINDING_UNKNOWN,Неизвестно
CONTROL_BINDING_ANY,Любая кнопка
CONTROL_BINDING_LEFTCLICK,Левый клик
CONTROL_BINDING_RIGHTCLICK,Правый клик
CONTROL_BINDING_MIDDLECLICK,Средний клик
CONTROL_BINDING_MOUSE4,Мышь 4
CONTROL_BINDING_MOUSE5,Мышь 5
CONTROL_BINDING_MOUSEX,Мышь
CONTROL_BINDING_MOUSEY,Мышь
CONTROL_BINDING_MOUSEWHEELX,Колёсико мыши
CONTROL_BINDING_MOUSEWHEELY,Колёсико мыши
CONTROL_BINDING_NONE,
,
ENEMY_FATWOMAN_DESC,"Ближний боец с Отбросом.
Отражает снаряды. Юниты при контакте отбрасываются.
Топот."
EABILITY_BIRTH_NAME,Рождение
,
SPECIAL_STRAY_BUNNY,Кролик
SPECIAL_STRAY_BEAVER,Бобёр
SPECIAL_STRAY_PIG,Свинья
SPECIAL_STRAY_DOG,Собака
SPECIAL_STRAY_SKUNK,Скунс
SPECIAL_STRAY_PORCUPINE,Дикобраз
SPECIAL_STRAY_ISAAC,Айзек
SPECIAL_STRAY_EDMUND,Эдмунд
SPECIAL_STRAY_TYLER,Тайлер
SPECIAL_STRAY_FIJIMERMAID,Фиджийская русалка
SPECIAL_STRAY_JERSEYDEVIL,Джерсийский дьявол
SPECIAL_STRAY_SONICHU,Соничу
SPECIAL_STRAY_BIGFOOT,Бигфут
SPECIAL_STRAY_NESSIE,Несси
SPECIAL_STRAY_GREY,Грей
SPECIAL_STRAY_MOTHMAN,Мотылёк
SPECIAL_STRAY_SLENDERMAN,Слендермен
,
PAUSE_MENU_HEADER,Пауза
PAUSE_MENU_BUTTON_RESUME,Продолжить
PAUSE_MENU_BUTTON_SETTINGS,Настройки
PAUSE_MENU_BUTTON_QUITTOMENU,Сохранить и выйти в меню
PAUSE_MENU_BUTTON_QUITTODESKTOP,Сохранить и выйти на рабочий стол
PAUSE_MENU_BUTTON_ABANDONRUN,Бросить приключение
PAUSE_MENU_BUTTON_ABANDONFIGHT,Сдаться
PAUSE_MENU_BUTTON_SKIPTUTORIAL,Пропустить обучение
PAUSE_MENU_BUTTON_BACK,Назад
PAUSE_MENU_BUTTON_GAMESETTINGS,Настройки игры
PAUSE_MENU_BUTTON_VIDEOSETTINGS,Настройки видео
PAUSE_MENU_BUTTON_AUDIOSETTINGS,Настройки звука
PAUSE_MENU_BUTTON_CONTROLS,Управление
SETTINGS_MENU_HEADER,Настройки
SETTINGS_GAME_HEADER,Настройки игры
SETTINGS_LANGUAGE_LABEL,Язык
SETTINGS_HUMPING_LABEL,Анимации спаривания
SETTINGS_HUMPING_OPT_NORMAL,Обычные
SETTINGS_HUMPING_OPT_SAFE,Безопасные
SETTINGS_HUMPING_OPT_RANDOM,Случайные
SETTINGS_AUTOSELECT_LABEL,Автовыбор базовых действий
SETTINGS_DOUBLECLICK_LABEL,Нацеливание на пустые клетки требует двойного клика
SETTINGS_DOUBLECLICK_LABEL_GAMEPAD,Нацеливание на пустые клетки требует двойного нажатия
SETTINGS_MAXSTATUSES_LABEL,Макс. статусов до сворачивания
SETTINGS_MAXSTATUSES_OPT_0,Только при наведении
SETTINGS_COLLAPSEELITEBUFFS_LABEL,Сворачивать множественные элитные баффы
SETTINGS_COMBATSPEED_LABEL,Скорость боя
SETTINGS_TOOLTIPSIZE_LABEL,Размер подсказок
SETTINGS_STATUSBARSIZE_LABEL,Размер полоски статуса
SETTINGS_SAVEFILEBACKUP_LABEL,Период резервного копирования
SETTINGS_SAVEFILEBACKUP_OPT_15,15 мин
SETTINGS_SAVEFILEBACKUP_OPT_30,30 мин
SETTINGS_SAVEFILEBACKUP_OPT_60,1 ч
SETTINGS_SAVEFILEBACKUP_OPT_120,2 ч
SETTINGS_SAVEFILEBACKUP_OPT_0,Никогда
SETTINGS_VIDEO_HEADER,Настройки видео
SETTINGS_FULLSCREEN_LABEL,Полный экран
SETTINGS_ANTIALIAS_LABEL,Сглаживание (MSAA)
SETTINGS_ANTIALIAS_OPT_0,Выкл
SETTINGS_VSYNC_LABEL,Верт. синхронизация
SETTINGS_RENDERSCALE_LABEL,Масштаб рендера
SETTINGS_VIGNETTE_LABEL,Мерцание виньетки
SETTINGS_VIGNETTE_OPT_NORMAL,Обычное
SETTINGS_VIGNETTE_OPT_LOW,Низкое
SETTINGS_VIGNETTE_OPT_NONE,Нет
SETTINGS_NOISEGRAIN_LABEL,Шум и зерно
SETTINGS_NOISEGRAIN_OPT_NORMAL,Обычные
SETTINGS_NOISEGRAIN_OPT_MEDIUM,Без шерсти
