KEY,en
//cat quotes,
CAT_VS_BOSS_QUOTES_FIGHTER_1,Я тебе сейчас твою тупую рожу разобью!
CAT_VS_BOSS_QUOTES_FIGHTER_2,Бей-круши!
CAT_VS_BOSS_QUOTES_FIGHTER_3,Погнааааали!
CAT_VS_BOSS_QUOTES_FIGHTER_4,"Может я и тупой, но не дурак!"
CAT_VS_BOSS_QUOTES_FIGHTER_5,Я пришёл надрать задницы и жевать жвачку!
CAT_VS_BOSS_QUOTES_FIGHTER_6,Я ВСЁ БОЛЬШЕ ЗЛЮСЬ!
CAT_VS_BOSS_QUOTES_FIGHTER_7,Я разберусь...
CAT_VS_BOSS_QUOTES_FIGHTER_8,Я сожру твоих детёнышей!
CAT_VS_BOSS_QUOTES_FIGHTER_9,Я отомщу!
CAT_VS_BOSS_QUOTES_HUNTER_1,Сюда!... Я нашёл нашу добычу.
CAT_VS_BOSS_QUOTES_HUNTER_2,Я и мои паразиты быстро с тобой разделаемся!
CAT_VS_BOSS_QUOTES_HUNTER_3,Я тебя за километр учуял.
CAT_VS_BOSS_QUOTES_HUNTER_4,Враг обнаружен!
CAT_VS_BOSS_QUOTES_HUNTER_5,Стреляйте во все его дырки!
CAT_VS_BOSS_QUOTES_HUNTER_6,"Тссс, я что-то слышу..."
CAT_VS_BOSS_QUOTES_HUNTER_7,Точно между глаз!
CAT_VS_BOSS_QUOTES_HUNTER_8,Мои паразиты попируют на твоей туше!
CAT_VS_BOSS_QUOTES_HUNTER_9,Ты угодил прямо в мою ловушку!
CAT_VS_BOSS_QUOTES_MAGE_1,Ты познаешь наш гнев!
CAT_VS_BOSS_QUOTES_MAGE_2,Ты не пройдёшь!
CAT_VS_BOSS_QUOTES_MAGE_3,Надеюсь маной не зальёт!
CAT_VS_BOSS_QUOTES_MAGE_4,Молния! Молния! Молния!
CAT_VS_BOSS_QUOTES_MAGE_5,Сейчас выброшу натуральную двадцатку!
CAT_VS_BOSS_QUOTES_MAGE_6,Кто-нибудь чует запах палёного?
CAT_VS_BOSS_QUOTES_MAGE_7,Клаату верата никто!
CAT_VS_BOSS_QUOTES_MEDIC_1,Молись!
CAT_VS_BOSS_QUOTES_MEDIC_2,Путь праведника тернист и труден из-за козней себялюбцев и тирании злых людей.
CAT_VS_BOSS_QUOTES_MEDIC_3,"Ну, ты попадёшь в ад..."
CAT_VS_BOSS_QUOTES_MEDIC_4,Я тебя сейчас ТАК осуждаю!
CAT_VS_BOSS_QUOTES_MEDIC_5,Слышал благую весть? Бог тебя любит!
CAT_VS_BOSS_QUOTES_MEDIC_6,Я тебя прощаю...
