KEY,en
EVENT_DEADRAT_NAME,Дохлая крыса
EVENT_DEADRAT_QUES,"{catname} находит дохлую крысу...

Трупная вонь наполняет {his} нос — запах мощный, но до странного притягательный."
EVENT_DEADRAT_QUES_M,
EVENT_DEADRAT_QUES_F,
EVENT_DEADRAT_QUES_N,
EVENT_DEADRAT_REW1,"{catname} разрывает труп на куски!

Слышны тоненькие писки — окрестные крысы в ужасе разбегаются!"
EVENT_DEADRAT_REW1_M,
EVENT_DEADRAT_REW1_F,
EVENT_DEADRAT_REW1_N,
EVENT_DEADRAT_REW2,"{catname} разрывает тело на части!

Среди останков {he} замечает кое-что интересное...
"
EVENT_DEADRAT_REW2_M,
EVENT_DEADRAT_REW2_F,
EVENT_DEADRAT_REW2_N,"{catname} разрывает тело на части!

Среди останков видно кое-что интересное..."
EVENT_DEADRAT_REW3,"{catname} крушит крысиный труп, отрывая конечность за конечностью!

Вокруг {him} сквозь стены слышится злобное стрекотание — разъярённые крысы готовят засаду!"
EVENT_DEADRAT_REW3_M,
EVENT_DEADRAT_REW3_F,
EVENT_DEADRAT_REW3_N,
EVENT_DEADRAT_REW4,"С неожиданным пылом {catname} раздирает бедную дохлую крысу, разбрасывая останки по всей комнате!

Другие коты в шоке наблюдают за этой вспышкой чудовищной жестокости!
"
EVENT_DEADRAT_REW4_M,
EVENT_DEADRAT_REW4_F,
EVENT_DEADRAT_REW4_N,
EVENT_DEADRAT_REW5,"{catname} разрывает пухлое тельце крысы и пожирает жёсткое, но вкусное мясо!

Насытившись, {catname} откладывает немного на потом.
"
EVENT_DEADRAT_REW5_M,
EVENT_DEADRAT_REW5_F,
EVENT_DEADRAT_REW5_N,
EVENT_DEADRAT_REW6,"{catname} разевает пасть и заглатывает крысу целиком! {he} начинает чувствовать что-то странное...

{catname} издаёт испуганное мяуканье — {his} тело мутирует, принимая новую форму!"
EVENT_DEADRAT_REW6_M,
EVENT_DEADRAT_REW6_F,
EVENT_DEADRAT_REW6_N,"{catname} разевает пасть и заглатывает крысу целиком! Что-то странное начинает происходить...

{catname} издаёт испуганное мяуканье — тело мутирует, принимая новую форму!"
EVENT_DEADRAT_REW7,"{catname} опрометчиво пожирает дохлую крысу без раздумий...

{He} начинает чувствовать тошноту и слабость!
"
EVENT_DEADRAT_REW7_M,
EVENT_DEADRAT_REW7_F,
EVENT_DEADRAT_REW7_N,"{catname} опрометчиво пожирает дохлую крысу без раздумий...

Тошнота подступает, накатывает слабость!
"
EVENT_DEADRAT_REW8,"{catname} отгрызает крысе голову. Мозги — объедение!
"
EVENT_DEADRAT_REW8_M,
EVENT_DEADRAT_REW8_F,
EVENT_DEADRAT_REW8_N,
EVENT_DEADRAT_REW9,"{catname} потрошит крысу и находит в её желудке деньги!
"
EVENT_DEADRAT_REW9_M,
EVENT_DEADRAT_REW9_F,
EVENT_DEADRAT_REW9_N,
EVENT_DEADRAT_REW10,"Незачем копаться во внутренностях, думает {catname}...

Крыса и так отличный перекус!
"
EVENT_DEADRAT_REW10_M,
EVENT_DEADRAT_REW10_F,
EVENT_DEADRAT_REW10_N,
EVENT_DEADRAT_REW11,{catname} обнаруживает предмет застрявший в глотке крысы и вытаскивает его...
EVENT_DEADRAT_REW11_M,
EVENT_DEADRAT_REW11_F,
EVENT_DEADRAT_REW11_N,
EVENT_DEADRAT_REW12,"{catname} подбрасывает крысиное тело в поисках чего-нибудь полезного.

{He} ощущает странное чувство — будто за {he} наблюдают, и замечает множество глаз, уставившихся из темноты…

Это засада!"
EVENT_DEADRAT_REW12_M,
EVENT_DEADRAT_REW12_F,
EVENT_DEADRAT_REW12_N,"{catname} подбрасывает крысиное тело в поисках чего-нибудь полезного.

Странное чувство — будто за тобой наблюдают. Множество глаз уставились из темноты…

Это засада!"
EVENT_DEADRAT_REW13,"{catname} тыкает в тело... Оно не было мёртвым! 

Крыса вскакивает и кусает {him}!
"
EVENT_DEADRAT_REW13_M,
EVENT_DEADRAT_REW13_F,
EVENT_DEADRAT_REW13_N,
EVENT_DEADCAT_NAME,Дохлый кот
EVENT_DEADCAT_QUES,"{catname} находит мёртвого кота — его тело скрючено в предсмертных конвульсиях от боли, которую он испытал в последние мгновения жизни..."
EVENT_DEADCAT_QUES_M,
EVENT_DEADCAT_QUES_F,
EVENT_DEADCAT_QUES_N,
EVENT_DEADCAT_REW1,"Труп ещё свежий. {catname} с аппетитом его пожирает — грех отказываться от хорошей еды.
"
EVENT_DEADCAT_REW1_M,
EVENT_DEADCAT_REW1_F,
EVENT_DEADCAT_REW1_N,
EVENT_DEADCAT_REW2,"{catname} жадно пожирает дохлого кота, пока остальные члены отряда неловко наблюдают...

{catname}, похоже, получает от этого слишком уж большое удовольствие!
"
EVENT_DEADCAT_REW2_M,
EVENT_DEADCAT_REW2_F,
EVENT_DEADCAT_REW2_N,
EVENT_DEADCAT_REW3,"Банда котов застаёт {catname} — {his} рот всё ещё набит шерстью и усами.

Они избивают отряд за осквернение мёртвых!
"
EVENT_DEADCAT_REW3_M,
EVENT_DEADCAT_REW3_F,
EVENT_DEADCAT_REW3_N,
EVENT_DEADCAT_REW4,"Коты думали, что {catname} не тронет труп, но с ужасом наблюдают, как {catname} принимается его каннибализировать!

Они больше никогда не будут смотреть на {catname} прежними глазами... Какой монстр!
"
EVENT_DEADCAT_REW4_M,
EVENT_DEADCAT_REW4_F,
EVENT_DEADCAT_REW4_N,
EVENT_DEADCAT_REW5,"{catname} роется в карманах дохлого кота и находит кошачью мяту!
"
EVENT_DEADCAT_REW5_M,
EVENT_DEADCAT_REW5_F,
EVENT_DEADCAT_REW5_N,
EVENT_DEADCAT_REW6,"Приглядевшись, {catname} понимает, что кот просто спал!

Кто вообще спит в такой позе?
"
EVENT_DEADCAT_REW6_M,
EVENT_DEADCAT_REW6_F,
EVENT_DEADCAT_REW6_N,
EVENT_DEADCAT_REW7,"{catname} проверяет пульс у кота лапой...

Он не был мёртв! Грубо вырванный из глубокого сна, кот набрасывается на отряд с когтями и зубами!
"
EVENT_DEADCAT_REW7_M,
EVENT_DEADCAT_REW7_F,
EVENT_DEADCAT_REW7_N,
