KEY,en
FURNITURE_RARE_FORMAT,Редкий предмет: {furniturename}
FURNITURE_NAME_POOP,Какашка
FURNITURE_DESC_POOP,
FURNITURE_NAME_AUTOFEEDER,Автокормушка
FURNITURE_DESC_AUTOFEEDER,"Этот предмет убрали из игры, и он ничего не делает. Он просто зря занимает место в доме."
FURNITURE_NAME_SPECIAL_FOODBOX,Ящик для еды
FURNITURE_DESC_SPECIAL_FOODBOX,+40 к макс. еде
FURNITURE_NAME_SPECIAL_COMFORTIDOL,Идол Комфорта
FURNITURE_DESC_SPECIAL_COMFORTIDOL,
FURNITURE_NAME_SPECIAL_APPEALIDOL,Идол Привлекательности
FURNITURE_DESC_SPECIAL_APPEALIDOL,
FURNITURE_NAME_SPECIAL_HEALTHIDOL,Идол Здоровья
FURNITURE_DESC_SPECIAL_HEALTHIDOL,
FURNITURE_NAME_SPECIAL_EVOLUTIONIDOL,Идол Эволюции 
FURNITURE_DESC_SPECIAL_EVOLUTIONIDOL,
FURNITURE_NAME_SPECIAL_STIMULATIONIDOL,Идол Стимуляции 
FURNITURE_DESC_SPECIAL_STIMULATIONIDOL,
FURNITURE_NAME_SPECIAL_FIGHTIDOL,Идол Хаоса
FURNITURE_DESC_SPECIAL_FIGHTIDOL,"Бои смертоноснее, но победивший кот получает двойные награды к характеристикам."
FURNITURE_NAME_SPECIAL_SUPPRESSORIDOL,Идол Целомудрия
FURNITURE_DESC_SPECIAL_SUPPRESSORIDOL,Коты не будут размножаться.
FURNITURE_NAME_SET_SPIDER_CANDELABRA,Паучий канделябр
FURNITURE_DESC_SET_SPIDER_CANDELABRA,
FURNITURE_NAME_SET_SPIDER_VANITY,Паучий туалетный столик
FURNITURE_DESC_SET_SPIDER_VANITY,
FURNITURE_NAME_SET_SPIDER_CHAIR,Паучий стул
FURNITURE_DESC_SET_SPIDER_CHAIR,
FURNITURE_NAME_SET_SPIDER_TABLE,Паучий стол
FURNITURE_DESC_SET_SPIDER_TABLE,
FURNITURE_NAME_SET_SPIDER_DRESSER,Паучий комод
FURNITURE_DESC_SET_SPIDER_DRESSER,
FURNITURE_NAME_SET_SPIDER_TV,Паучий телевизор
FURNITURE_DESC_SET_SPIDER_TV,
FURNITURE_NAME_SET_SPIDER_TOILET,Паучий унитаз
FURNITURE_DESC_SET_SPIDER_TOILET,
FURNITURE_NAME_SET_SPIDER_SHELF,Паучья полка
FURNITURE_DESC_SET_SPIDER_SHELF,
FURNITURE_NAME_SET_SPIDER_BED,Паучья кровать
FURNITURE_DESC_SET_SPIDER_BED,
FURNITURE_NAME_SET_SPIDER_SIDETABLE,Паучья тумбочка
FURNITURE_DESC_SET_SPIDER_SIDETABLE,
FURNITURE_NAME_SET_JUNK_SIDETABLE,Мусорная тумбочка
FURNITURE_DESC_SET_JUNK_SIDETABLE,
FURNITURE_NAME_SET_JUNK_CHAIR,Мусорный стул
FURNITURE_DESC_SET_JUNK_CHAIR,
FURNITURE_NAME_SET_JUNK_SHELF,Мусорная полка
FURNITURE_DESC_SET_JUNK_SHELF,
FURNITURE_NAME_SET_JUNK_BED,Мусорная кровать
FURNITURE_DESC_SET_JUNK_BED,
FURNITURE_NAME_SET_JUNK_CABINET,Мусорный шкаф
FURNITURE_DESC_SET_JUNK_CABINET,
FURNITURE_NAME_SET_JUNK_TV,Мусорный телевизор
FURNITURE_DESC_SET_JUNK_TV,
FURNITURE_NAME_SET_JUNK_SUSPENDEDSHELF,Подвесная мусорная полка
FURNITURE_DESC_SET_JUNK_SUSPENDEDSHELF,
FURNITURE_NAME_SET_JUNK_LAMP,Мусорная лампа
FURNITURE_DESC_SET_JUNK_LAMP,
FURNITURE_NAME_SET_JUNK_DRESSER,Мусорный комод
FURNITURE_DESC_SET_JUNK_DRESSER,
FURNITURE_NAME_SET_JUNK_TOILET,Мусорный унитаз
FURNITURE_DESC_SET_JUNK_TOILET,
FURNITURE_NAME_SET_SEWN_DRESSER,Сшитый комод
FURNITURE_DESC_SET_SEWN_DRESSER,
FURNITURE_NAME_SET_SEWN_SIDETABLE,Сшитая тумбочка
FURNITURE_DESC_SET_SEWN_SIDETABLE,
FURNITURE_NAME_SET_SEWN_TABLE,Сшитый стол
FURNITURE_DESC_SET_SEWN_TABLE,
FURNITURE_NAME_SET_SEWN_COUCH,Сшитый диван
FURNITURE_DESC_SET_SEWN_COUCH,
FURNITURE_NAME_SET_SEWN_CHAIR,Сшитый стул
FURNITURE_DESC_SET_SEWN_CHAIR,
FURNITURE_NAME_SET_SEWN_STOOL1,Сшитый табурет А
FURNITURE_DESC_SET_SEWN_STOOL1,
FURNITURE_NAME_SET_SEWN_TOILET,Сшитый унитаз
FURNITURE_DESC_SET_SEWN_TOILET,
FURNITURE_NAME_SET_SEWN_TV,Сшитый телевизор
FURNITURE_DESC_SET_SEWN_TV,
FURNITURE_NAME_SET_SEWN_DOLL,Сшитая кукла
FURNITURE_DESC_SET_SEWN_DOLL,
FURNITURE_NAME_SET_SEWN_STOOL2,Сшитый табурет Б
FURNITURE_DESC_SET_SEWN_STOOL2,
FURNITURE_NAME_SET_CAT_SHELF,Кошачья полка
FURNITURE_DESC_SET_CAT_SHELF,
FURNITURE_NAME_SET_CAT_COUCH,Кошачий диван
FURNITURE_DESC_SET_CAT_COUCH,
FURNITURE_NAME_SET_CAT_CHAIR,Кошачий стул
FURNITURE_DESC_SET_CAT_CHAIR,
FURNITURE_NAME_SET_CAT_BED,Кошачья кровать
FURNITURE_DESC_SET_CAT_BED,
FURNITURE_NAME_SET_CAT_TABLE,Кошачий стол А
FURNITURE_DESC_SET_CAT_TABLE,
FURNITURE_NAME_SET_CAT_TV,Кошачий телевизор
FURNITURE_DESC_SET_CAT_TV,
FURNITURE_NAME_SET_CAT_BENCH,Кошачья скамейка
FURNITURE_DESC_SET_CAT_BENCH,
FURNITURE_NAME_SET_CAT_DRESSER,Кошачий комод
FURNITURE_DESC_SET_CAT_DRESSER,
FURNITURE_NAME_SET_CAT_SUSPENDED_SHELF,Подвесная кошачья полка
FURNITURE_DESC_SET_CAT_SUSPENDED_SHELF,
FURNITURE_NAME_SET_CAT_TABLE2,Кошачий стол Б
FURNITURE_DESC_SET_CAT_TABLE2,
FURNITURE_NAME_SET_WOODEN_SHELF,Деревянная полка А
FURNITURE_DESC_SET_WOODEN_SHELF,
FURNITURE_NAME_SET_WOODEN_DRESSER,Деревянный комод
FURNITURE_DESC_SET_WOODEN_DRESSER,
FURNITURE_NAME_SET_WOODEN_CHAIR,Деревянный стул
FURNITURE_DESC_SET_WOODEN_CHAIR,
FURNITURE_NAME_SET_WOODEN_TOILET,Деревянный унитаз
FURNITURE_DESC_SET_WOODEN_TOILET,
FURNITURE_NAME_SET_WOODEN_TABLE,Деревянный стол
FURNITURE_DESC_SET_WOODEN_TABLE,
FURNITURE_NAME_SET_WOODEN_SINK,Деревянная раковина
FURNITURE_DESC_SET_WOODEN_SINK,
FURNITURE_NAME_SET_WOODEN_LAMP,Деревянная лампа
FURNITURE_DESC_SET_WOODEN_LAMP,
FURNITURE_NAME_SET_WOODEN_TV,Деревянный телевизор
FURNITURE_DESC_SET_WOODEN_TV,
