KEY,en
//weapons,
ITEM_22RIFLE_NAME,Мелкашка
ITEM_22RIFLE_DESC,Действие: Выстрелить в любую точку в пределах линии обзора.
ITEM_ALIENBLASTER_NAME,Инопланетный бластер
ITEM_ALIENBLASTER_DESC,Действие: Лазерная атака. Получает +1 к урону на оставшуюся часть боя при каждом использовании.
ITEM_ALIENTECH_NAME,Инопланетные технологии
ITEM_ALIENTECH_DESC,"Действие: Выберите область. В начале следующего хода нанесите по ней удар гиперлучом.
[s:.7](Одноразовое в бою.)[/s]"
ITEM_AMERICANFLAG_NAME,Американский флаг
ITEM_AMERICANFLAG_DESC,"Действие: Заставить бойца атаковать одного из своих врагов.
[s:.7](Одноразовое в бою.)[/s]"
ITEM_ANARCHISTCOOKBOOK_NAME,Поваренная книга анархиста
ITEM_ANARCHISTCOOKBOOK_DESC,"Действие: Призвать 3-5 гранат, которые взрываются в конце раунда или при уничтожении."
ITEM_ANOINTINGOIL_NAME,Священное Масло
ITEM_ANOINTINGOIL_DESC,"Действие: Снять дебаффы с соседнего бойца или с себя.
[s:.7](Одноразовое в бою.)[/s]"
ITEM_BAGOFCHUM_NAME,Мешок наживки
ITEM_BAGOFCHUM_DESC,Действие: Призвать очарованного опарыша.
ITEM_BAGOFGLASS_NAME,Мешок стекла
ITEM_BAGOFGLASS_DESC,"Действие: Создать стекло на соседней клетке.
5% шанс сломаться при использовании."
ITEM_BAGOFGLITTER_NAME,Мешок блёсток
ITEM_BAGOFGLITTER_DESC,"Действие: Наложить слепоту 2 на соседнего бойца.
5% шанс сломаться при использовании."
ITEM_BAGOFMEAT_NAME,Мешок мяса
ITEM_BAGOFMEAT_DESC,"Действие: Создать мясо на соседней клетке.
5% шанс сломаться при использовании."
ITEM_BAGOFROCKS_NAME,Мешок камней
ITEM_BAGOFROCKS_DESC,"Действие: Ближняя атака, наносящая ушиб."
ITEM_BAGOFSTUFF_NAME,Мешок всячины
ITEM_BAGOFSTUFF_DESC,"Действие: Создать случайный подбираемый предмет на соседней клетке.
5% шанс сломаться при использовании."
ITEM_BALLPEENHAMMER_NAME,Рихтовочный молоток
ITEM_BALLPEENHAMMER_DESC,"Действие: Ближняя атака. При использовании на союзнике даёт +1 заряд всем его предметам вместо нанесения урона.
5% шанс сломаться при ремонте предметов."
ITEM_BARBEDPAW_NAME,Шипастая лапа
ITEM_BARBEDPAW_DESC,"Действие: Ближняя атака, наносящая кровотечение 1.
Пассивное: +1 шипы."
ITEM_BATTERY_NAME,Батарейка
ITEM_BATTERY_DESC,Действие: Дальняя атака молнией с 10% шансом оглушить.
ITEM_BATTLEAXE_NAME,Боевой топор
ITEM_BATTLEAXE_DESC,"Действие: Ближняя вихревая атака.
Тратит и ход, и атаку."
ITEM_BEARTRAPS_NAME,Медвежьи капканы
ITEM_BEARTRAPS_DESC,Действие: Установить медвежий капкан.
ITEM_BENTSPOON_NAME,Гнутая ложка
ITEM_BENTSPOON_DESC,Действие: Притянуть любого бойца на 1 клетку к себе и нанести ему 1 урон.
ITEM_BIBLE_NAME,Библия
ITEM_BIBLE_DESC,"Действие: Снять один стак случайного дебаффа с бойца в ближнем бою. 
Пассивное: Ваше исцеление лечит на 1 больше."
ITEM_BIGGESTSTICK_NAME,Здоровенная палка
ITEM_BIGGESTSTICK_DESC,Действие: Ближняя атака с +3 к дальности.
ITEM_BIGSPRING_NAME,Большая пружина
ITEM_BIGSPRING_DESC,Действие: Зашвырнуть соседнего бойца на клетку.
ITEM_BIGSTICK_NAME,Большая палка
ITEM_BIGSTICK_DESC,Действие: Ближняя атака с +2 к дальности.
ITEM_BLACKJACK_NAME,Дубинка
ITEM_BLACKJACK_DESC,"Действие: Ближняя атака с 5% шансом оглушить.
Автоматически используется, когда вы останавливаетесь рядом с врагом или враг останавливается рядом с вами."
ITEM_BLACKMUSHROOM_NAME,Чёрный гриб
ITEM_BLACKMUSHROOM_DESC,"Действие: Дальняя атака, наносящая слабость 2.
[s:.7](Одноразовое в бою.)[/s]"
ITEM_BLESSEDANOINTINGOIL_NAME,Благословенный елей
ITEM_BLESSEDANOINTINGOIL_DESC,Действие: Снять дебаффы и исцелить соседнего бойца или себя.
ITEM_BLOODBUCKET_NAME,Ведро крови
ITEM_BLOODBUCKET_DESC,"Использование: Метание, создающее лужу заразы."
ITEM_BLOODYBAGOFGLASS_NAME,Кровавый мешок стекла
ITEM_BLOODYBAGOFGLASS_DESC,"Действие: Метнуть снаряд, создающий стекло."
ITEM_BLOODYBEARTRAPS_NAME,Кровавые медвежьи капканы
ITEM_BLOODYBEARTRAPS_DESC,Действие: Установить медвежий капкан.
ITEM_BLOODYBUTTERFLYKNIFE_NAME,Кровавый нож
ITEM_BLOODYBUTTERFLYKNIFE_DESC,"Действие: Многоударная ближняя атака с кражей жизни, наносящая кровотечение.
[s:.7](Одноразовое в бою.)[/s]"
ITEM_BLOODYMEATHOOK_NAME,Кровавый мясной крюк
ITEM_BLOODYMEATHOOK_DESC,"Действие: Притянуть бойца к себе, нанося рассечение и кровотечение 1."
ITEM_BLOODYSOULCLAW_NAME,Кровавый коготь души
ITEM_BLOODYSOULCLAW_DESC,"Действие: Ближняя атака с уроном, равным оставшимся зарядам.
Когда это оружие убивает бойца, оно получает +2 заряда, и вы исцеляете 5 ОЗ."
ITEM_BLOODYSPIKES_NAME,Кровавые шипы
ITEM_BLOODYSPIKES_DESC,"+1 шипы.
Действие: Дальняя атака."
ITEM_BLOODYSTICK_NAME,Кровавая палка
ITEM_BLOODYSTICK_DESC,"+1 регенерация здоровья.
Действие: Ближняя атака с +1 к дальности."
ITEM_BO_NAME,Бо
ITEM_BO_DESC,Действие: Ближняя атака. При попадании прыгнуть вперёд на 2 клетки.
ITEM_BOMB_NAME,Бомба
ITEM_BOMB_DESC,Действие: Метнуть бомбу — она взрывается.
ITEM_BONECLUB_NAME,Костяная дубина
ITEM_BONECLUB_DESC,"Действие: Ближняя атака.
Это оружие имеет 15% шанс сломаться при каждом использовании."
ITEM_BOOKOFBELIAL_NAME,Книга Велиала
ITEM_BOOKOFBELIAL_DESC,"Действие: Получить +3 к урону.
ПЕРЕЗАРЯДКА: Убить врага."
ITEM_BOTTLES_NAME,Бутылки
ITEM_BOTTLES_DESC,"Использование: Бросаемая атака, создаёт стеклянную плитку."
ITEM_BOTTLESOFBLOOD_NAME,Бутылки крови
ITEM_BOTTLESOFBLOOD_DESC,"Использование: Бросаемая атака, создаёт стеклянные плитки в области."
ITEM_BRICKS_NAME,Кирпичи
ITEM_BRICKS_DESC,"Действие: Навесная атака, наносящая оглушение.
[s:.7](Одноразовое в бою.)[/s]"
ITEM_BUCKETOFACID_NAME,Пузырёк кислоты
ITEM_BUCKETOFACID_DESC,Действие: Ближняя атака со случайными эффектами состояний.
ITEM_BUCKETOFBLOOD_NAME,Ведро крови
