KEY,en
KEYWORD_ADRENALINE_NAME,Адреналин
KEYWORD_ADRENALINE_DESC,"Удерживает Истощение на 0.
+25% шанс крит. удара.
+25% шанс блока."
KEYWORD_ALLSTATSUP_NAME,Все хар-ки повышены
KEYWORD_ALLSTATSUP_DESC,Все характеристики увеличены на {stacks}
KEYWORD_ALLSTATSDOWN_NAME,Все хар-ки понижены
KEYWORD_ALLSTATSDOWN_DESC,Все характеристики уменьшены на {absstacks}
KEYWORD_ALPHA_NAME,Альфа
KEYWORD_ALPHA_DESC,Это Альфа. Некоторые способности учитывают это.
KEYWORD_ALPHA_DESC_STACKLESS,Само по себе не даёт эффектов. Только один юнит может быть Альфой. Некоторые заклинания и способности дают бонусы Альфе.
KEYWORD_AMMO_NAME,Боеприпасы
KEYWORD_AMMO_DESC,Осталось выстрелов: {stacks}.
KEYWORD_AMMO_DESC_STACKLESS,Некоторые способности требуют боеприпасы.
KEYWORD_ATTRACTION_NAME,Притяжение
KEYWORD_ATTRACTION_REF,Притяжение
KEYWORD_ATTRACTION_DESC_REF,Двигается к {applier} в начале своего хода.
KEYWORD_ATTRACTION_DESC,Источник притяжения исчез. Не делает ничего.
KEYWORD_ATTRACTION_DESC_STACKLESS,Двигается к вам в начале своего хода.
KEYWORD_BACKFLIP_NAME,Сальто назад
KEYWORD_BACKFLIP_DESC,"Делает сальто назад, уклоняясь, когда его выбирают целью в следующий раз."
KEYWORD_BLEED_NAME,Кровотечение
KEYWORD_BLEED_DESC,"Получает {stacks} урона в конце раунда, затем Кровотечение увеличивается на 1."
KEYWORD_BLEED_DESC_STACKLESS,"Получает урон в конце раунда, затем Кровотечение увеличивается на 1."
KEYWORD_BLEEDTHORNS_NAME,Кровавые шипы
KEYWORD_BLEEDTHORNS_DESC,"Наносит {stacks} урона и накладывает Кровотечение {stacks} на юнитов, которые касаются вас."
KEYWORD_BLEEDTHORNS_DESC_STACKLESS,"Наносит урон и накладывает Кровотечение на юнитов, которые касаются вас."
KEYWORD_BLESSINGOFPEACE_NAME,Благословение мира
KEYWORD_BLESSINGOFPEACE_DESC,"Получает +{stacks} [img:divineshield] в конце вашего хода. Теряется, если вы наносите урон."
KEYWORD_BLESSINGOFPEACE_DESC_STACKLESS,"Получает [img:divineshield] в конце вашего хода. Теряется, если вы наносите урон."
KEYWORD_BLIND_NAME,Слепота
KEYWORD_BLIND_DESC,30% шанс промаха на {stacks} ходов.
KEYWORD_BLIND_DESC_STACKLESS,30% шанс промаха на следующий ход.
KEYWORD_BLOODZERK_NAME,Кровавое безумие
KEYWORD_BLOODZERK_DESC,"Когда вы наносите урон здоровью юнита с Кровотечением, исцеляетесь на столько же."
KEYWORD_BODYGUARD_NAME,Телохранитель
KEYWORD_BODYGUARD_DESC,"Когда союзника выбирают целью, меняется с ним местами."
KEYWORD_BOUNTY_NAME,Награда
KEYWORD_BOUNTY_DESC,Получает на 25% больше урона. При гибели даёт {stacks} монет.
KEYWORD_BOUNTY_DESC_STACKLESS,Получает на 25% больше урона. При гибели даёт монеты.
KEYWORD_BRACE_NAME,Стойка
KEYWORD_BRACE_DESC,Получает на {stacks} меньше урона из всех источников.
KEYWORD_BRACE_DESC_STACKLESS,Уменьшает весь входящий урон.
KEYWORD_BRUISE_NAME,Ушиб
KEYWORD_BRUISE_DESC,Получает на {stacks} больше урона от физических источников.
KEYWORD_BRUISE_DESC_STACKLESS,Увеличивает весь входящий физический урон.
KEYWORD_BURN_NAME,Ожог
KEYWORD_BURN_DESC,"Получает {stacks} урона в начале хода, затем Ожог уменьшается на 1."
KEYWORD_BURN_DESC_STACKLESS,"Получает урон в начале хода, затем Ожог уменьшается на 1."
