KEY,en
//misc,
AREA_NAME_TUTORIAL,Тропа
AREA_NAME_HOUSE,Дом
AREA_NAME_ALLEY,Переулок
AREA_NAME_SEWERS,Канализация
AREA_NAME_JUNKYARD,Свалка
AREA_NAME_CAVES,Пещеры
AREA_NAME_BONEYARD,Кладбище
AREA_NAME_MEATWORLD,Пульсирующие владения
AREA_NAME_DESERT,Пустыня
AREA_NAME_CRATER,Кратер
AREA_NAME_BUNKER,Бункер
AREA_NAME_MOON,Луна
AREA_NAME_CORE,Ядро
AREA_NAME_DIMENSIONX,Разлом
AREA_NAME_LAB,Лаборатория
AREA_NAME_ICEAGE,Ледниковый период
AREA_NAME_JURASSIC,Юрский период
AREA_NAME_FUTURE,Das Füture
AREA_NAME_THEEND,Конец
AREA_NAME_ENDOFTIME,Бесконечность
AREA_NAME_UNKNOWN,Где-то
SAVE_FILE_NO_DATA,Нет данных
,
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_1,Бой с Гильотиной
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_2,Бой с Гильотиной
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_3,Бой с Гильотиной
SAVE_FILE_FIGHT_HOUSEBOSS_PYROPHINA,Бой с Пирофиной
SAVE_FILE_FIGHT_HOUSEBOSS_ZARATANA,Бой с Заратаной
SAVE_FILE_FIGHT_HOUSEBOSS_KAIJUFIGHT,Наблюдаем за дракой кайдзю
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_1,Бой с C-800
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_2,Бой с C-1000
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_3,Бой с армией роботов Гитлера
,
AREA_NAME_ALLEY_BANNER,ПЕРЕУЛОК
AREA_NAME_SEWERS_BANNER,КАНАЛИЗАЦИЯ
AREA_NAME_JUNKYARD_BANNER,СВАЛКА
AREA_NAME_CAVES_BANNER,ПЕЩЕРЫ
AREA_NAME_BONEYARD_BANNER,КЛАДБИЩЕ
AREA_NAME_MEATWORLD_BANNER,ПУЛЬСИРУЮЩИЕ ВЛАДЕНИЯ
AREA_NAME_DESERT_BANNER,ПУСТЫНЯ
AREA_NAME_CRATER_BANNER,КРАТЕР
AREA_NAME_BUNKER_BANNER,БУНКЕР
AREA_NAME_MOON_BANNER,ЛУНА
AREA_NAME_CORE_BANNER,ЯДРО
AREA_NAME_DIMENSIONX_BANNER,РАЗЛОМ
AREA_NAME_LAB_BANNER,ЛАБОРАТОРИЯ
AREA_NAME_ICEAGE_BANNER,ЛЕДНИКОВЫЙ ПЕРИОД
AREA_NAME_JURASSIC_BANNER,ЮРСКИЙ ПЕРИОД
AREA_NAME_FUTURE_BANNER,БУДУЩЕЕ
AREA_NAME_THEEND_BANNER,КОНЕЦ
AREA_NAME_ENDOFTIME_BANNER,∞
,
//dynamic strings,
WORLDEVENT_ENDBUTTON_MISC,Что-нибудь ещё?
WORLDEVENT_ENDBUTTON_REPLACEABILITY,Выберите способность для замены
WORLDEVENT_ENDBUTTON_REPLACEPASSIVE,Выберите пассивку для замены
WORLDEVENT_ENDBUTTON_TRYAGAIN,Попытка ещё раз
WORLDEVENT_ENDBUTTON_LEVELUP,Новый уровень!
WORLDEVENT_ENDBUTTON_LEVELUP_CAT,{Catname} получает уровень!
WORLDEVENT_ENDBUTTON_LEVELUP_CAT_M,
WORLDEVENT_ENDBUTTON_LEVELUP_CAT_F,
WORLDEVENT_ENDBUTTON_LEVELUP_CAT_N,
WORLDEVENT_ENDBUTTON_FIGHT,В бой!
