KEY,en
//beanies_gameintro,
NPC_BEANIES_INTRO_1,[m:veryhappy][s:1.5][b]Наука!!![/b][/s]
NPC_BEANIES_INTRO_2,[m:happy]Напугал тебя
NPC_BEANIES_INTRO_3,"[m:default]Я понимаю, насколько пугающим может быть слово «наука» в наши дни..."
NPC_BEANIES_INTRO_4,"[m:happy]Но поверь мне,
иногда наука бывает полезной."
NPC_BEANIES_INTRO_5,[m:default]Взять хотя бы этот стол.
NPC_BEANIES_INTRO_6,"Наука создала этот стол
и пол, на котором он стоит!"
NPC_BEANIES_INTRO_7,"[m:whispering]Есть даже люди, которые верят, что наука создала и тебя, и меня!"
NPC_BEANIES_INTRO_8,"[m:default]Но я отвлёкся,
суть в том, что коты — это тоже наука..."
NPC_BEANIES_INTRO_9,"[m:winking]Наука, которую я,
[b]Томас А. Бинис[/b],
изобрёл!"
NPC_BEANIES_INTRO_10,[m:default]Но при чём тут ты?
NPC_BEANIES_INTRO_11,"[m:default]Ну, ходят слухи, что ты и сам немного фелинолог."
NPC_BEANIES_INTRO_12,"[m:happy]Знаю, мы только познакомились, но уверен — вместе мы можем изменить мир!"
NPC_BEANIES_INTRO_13,[m:veryhappy][s:1.5][a:wave]С ПОМОЩЬЮ КОТОВ![/a][/s]
NPC_BEANIES_INTRO_14,"[m:winking]А теперь полюбуйся на этих прекрасных экземпляров!
Это моя свежая партия! Прямиком из биочанов!"
NPC_BEANIES_INTRO_15,"Выбери двух,
мальчика и девочку...
Поверь, потом поймёшь зачем. "
NPC_BEANIES_INTRO_16,"[m:shocked]Эээ,
что не так с {Catname}?!"
NPC_BEANIES_INTRO_16_M,
NPC_BEANIES_INTRO_16_F,
NPC_BEANIES_INTRO_16_N,
NPC_BEANIES_INTRO_17,"[m:bored]Ну ничего себе, не ожидал, что ты откажешься от лучшего!"
NPC_BEANIES_INTRO_18,"[m:default]Ну и ладно,
запчасти пригодятся."
NPC_BEANIES_INTRO_19,[m:sad]Природа жестока...
NPC_BEANIES_INTRO_20,[m:happy]Но так быть не должно!
NPC_BEANIES_INTRO_21,"[m:pondering]Мне кажется, с моими мозгами и твоим талантом выбирать не лучших котов..."
NPC_BEANIES_INTRO_22,[m:veryhappy]Мы реально можем всё перевернуть!
NPC_BEANIES_INTRO_23,"[m:happy]Чёрт возьми, с достаточным количеством котов мы сможем повернуть время вспять!
Может, даже сделать смерть невозможной?!"
NPC_BEANIES_INTRO_24,"[m:pondering][s:.7]Мне нужна лишь ядерная бомба,
радиоактивная кровь
и немного упорства...[/s]"
NPC_BEANIES_INTRO_25,"[m:winking]Не переживай,
я обязательно выжму немного из локтей {Catname's} перед кремацией."
NPC_BEANIES_INTRO_25_M,
NPC_BEANIES_INTRO_25_F,
NPC_BEANIES_INTRO_25_N,
NPC_BEANIES_INTRO_26,"[m:happy][s:1.3]А теперь иди, дитя моё![/s]"
NPC_BEANIES_INTRO_27,[m:veryhappy][s:1.5]Ступай в мир и собирай котов![/s]
,
//beanies_progression,
NPC_BEANIES_UNPROMPTED1_1,[m:angry]Кто тебя сюда впустил?! Вон!
NPC_BEANIES_UNPROMPTED2_1,[m:veryangry]Где твой ордер?!
NPC_BEANIES_UNPROMPTED2_2,"[m:default]А, это ты... [m:angry]ПРОВАЛИВАЙ!"
NPC_BEANIES_UNPROMPTED3_1,[m:veryangry]У МЕНЯ ПУШКА!
NPC_BEANIES_UNPROMPTED3_2,"[m:scared]Господи, я думал, ты нацист из будущего..."
NPC_BEANIES_UNPROMPTED3_3,[m:angry]Уходи...
NPC_BEANIES_UNPROMPTED4_1,"[m:angry]Если бы ты мне был нужен, я бы позвал... Иди домой."
NPC_BEANIES_UNPROMPTED5_1,[m:veryangry]Я УЖЕ ГОВОРИЛ — ПОНЯТИЯ НЕ ИМЕЮ ГДЕ ЭТИ ДЕТИ!
NPC_BEANIES_UNPROMPTED5_2,[m:questioning]А... это ты. Уходи пожалуйста.
NPC_BEANIES_UNPROMPTED6_1,[m:happy]Нравится то что видишь? ... [m:shocked]Эй ты не та девушка с фотки!?
NPC_BEANIES_UNPROMPTED6_2,"[m:sad][s:.7]Я знал, что это слишком хорошо, чтобы быть правдой...[/s]"
NPC_BEANIES_UNPROMPTED6_3,[m:angry]Вон из моей лаборатории!
NPC_BEANIES_ALSO_1,Кстати...
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_1,"[m:default]Эй, помнишь меня?
Доктор Бинис."
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_2,"[m:questioning]Парень, который вернул тебя к жизни и запустил твою карьеру кошатника?"
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_3,"[m:angry]Тот, кому ты обязан своим существованием!? Помнишь!?"
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_4,"[m:happy]Отлично, потому что пора платить по счетам!
Видишь ли, мне нужна твоя помощь..."
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_5,[m:pondering]Но мне нужно ещё немного науки
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_6,"[m:questioning]Ты знаешь, что коты с расстройствами или мутациями содержат чёртовски много науки?"
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_7,"[m:happy]Теперь в курсе!
Пришли мне такой экземпляр, и у меня найдётся для тебя ""побочный квест""..."
NPC_BEANIES_BEANIES_QUESTS_INTRO_1,"[m:happy]Ладно, смотри...
Пока я перегонял в жир того кота, которого ты прислал...
У меня родилась потрясающая идея!"
NPC_BEANIES_BEANIES_QUESTS_INTRO_2,[m:veryhappy]ЭТО НОВОЕ ИЗОБРЕТЕНИЕ!
NPC_BEANIES_BEANIES_QUESTS_INTRO_3,[m:mocking]И ты — идеальный кандидат для испытаний!
NPC_BEANIES_BEANIES_QUESTS_INTRO_4,[m:default]Взгляни...
NPC_BEANIES_BEANIES_QUESTS_REPEAT_1,[m:veryhappy]Я СНОВА ЭТО СДЕЛАЛ! НОВОЕ ИЗОБРЕТЕНИЕ!
NPC_BEANIES_BEANIES_QUESTS_REPEAT_2,[m:veryhappy]На этот раз оно реально изменит мир и сделает меня миллиардером!
NPC_BEANIES_BEANIES_QUESTS_REPEAT_3,[m:happy]А теперь слушай внимательно!
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_1,"[m:happy]Я назвал это
[b]Устройство Убеждения![/b]"
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_2,[m:default]Просто врежь кому-нибудь этой штукой — и жертва решит что вы лучшие друзья.
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_3,[m:scared]Ты случайно не помнишь?...
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_4,[m:happy]Отлично! ... [m:pondering]О чём я говорил?
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_5,"[m:default]А, точно, бери Устройство Убеждения и поэкспериментируй с ним в приключении."
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_6,"Пройди {questdestination}, а потом вернись и доложи."
NPC_BEANIES_BEANIESQUEST_INTRO_PERSUASIONDEVICE_7,[m:happy]С богом!
NPC_BEANIES_BEANIESQUEST_COMPLETE_PERSUASIONDEVICE_1,[m:veryhappy][b]Устройство Убеждения[/b] работает! Я ГЕНИЙ!
NPC_BEANIES_BEANIESQUEST_COMPLETE_PERSUASIONDEVICE_2,"[m:default]Я немного его доработал, и в качестве бонуса можешь оставить его себе!"
NPC_BEANIES_BEANIESQUEST_COMPLETE_PERSUASIONDEVICE_3,А ещё вот тебе {questreward} монет за труды.[sfx:PickupCoin][pause:1][sfx:PickupCoin][pause:1][sfx:PickupCoin]
NPC_BEANIES_BEANIESQUEST_COMPLETE_PERSUASIONDEVICE_4,"[m:happy]Откуда это взялось, там ещё есть — просто продолжай выполнять мои морально сомнительные просьбы!"
NPC_BEANIES_BEANIESQUEST_COMPLETE_PERSUASIONDEVICE_5,[m:default]Присылай ещё котов!
NPC_BEANIES_BEANIESQUEST_FAIL_PERSUASIONDEVICE_1,"[m:angry]Ты потерял
[b]Устройство Убеждения?![/b]"
NPC_BEANIES_BEANIESQUEST_FAIL_PERSUASIONDEVICE_2,[m:veryangry]Ты хоть представляешь сколько черепов мне пришлось разбить чтобы откалибровать эту штуку?!
NPC_BEANIES_BEANIESQUEST_FAIL_PERSUASIONDEVICE_3,[m:angry]Я растяжение связок заработал от этого ручного труда...
NPC_BEANIES_BEANIESQUEST_FAIL_PERSUASIONDEVICE_4,[m:veryangry]Знаешь как долго это заживает?!!
NPC_BEANIES_BEANIESQUEST_FAIL_PERSUASIONDEVICE_5,[m:angry][s:.7]Надо было сразу понять что такой как ты всё испортит...[/s]
NPC_BEANIES_BEANIESQUEST_FAIL_PERSUASIONDEVICE_6,"[m:sad]Но если честно, я сжёг все мосты — ты моя единственная надежда."
