KEY,en
PASSIVE_SELFASSURED_NAME,Самоуверенность
PASSIVE_SELFASSURED_DESC,При уничтожении вражеского юнита получите случайное повышение характеристики.
PASSIVE_SELFASSURED2_DESC,При уничтожении вражеского юнита получите повышение всех характеристик.
PASSIVE_LUCKDRAIN_NAME,Поглощение удачи
PASSIVE_LUCKDRAIN_DESC,+1 [img:lck] при уничтожении любого юнита.
PASSIVE_LUCKDRAIN2_DESC,"+1 [img:lck] при уничтожении любого юнита.
Дополнительно +2 [img:lck] при уничтожении юнита ВАМИ."
PASSIVE_INFESTED_NAME,Заражение
PASSIVE_INFESTED_DESC,50% шанс призвать фамильяра-блоху в конце вашего хода.
PASSIVE_INFESTED2_DESC,"Призыв 2-3 блох в начале каждого боя.
50% шанс призвать фамильяра-блоху в конце вашего хода."
PASSIVE_WORMS_NAME,Черви
PASSIVE_WORMS_DESC,50% шанс призвать фамильяра-личинку в конце вашего хода.
PASSIVE_WORMS2_DESC,50% шанс призвать мутировавшего фамильяра-личинку в конце вашего хода.
PASSIVE_AMPED_NAME,Разгон
PASSIVE_AMPED_DESC,+1 [img:spd] в конце вашего хода.
PASSIVE_AMPED2_DESC,"+1 [img:spd] в конце вашего хода.
Вы можете двигаться дополнительный раз каждый ход."
PASSIVE_FURIOUS_NAME,Ярость
PASSIVE_FURIOUS_DESC,"+1 к урону за каждый нанесённый критический удар.
+5% к шансу критического удара."
PASSIVE_FURIOUS2_DESC,"+1 к урону и +5% к шансу крит. удара за каждый нанесённый критический удар.
+5% к шансу критического удара."
PASSIVE_DEATHLESS_NAME,Бессмертие
PASSIVE_DEATHLESS_DESC,+3 к ОЗ трупа
PASSIVE_DEATHLESS2_DESC,+96 к ОЗ трупа
PASSIVE_METALDETECTOR_NAME,Металлоискатель
PASSIVE_METALDETECTOR_DESC,5% шанс создать монету при перемещении по клетке.
PASSIVE_METALDETECTOR2_DESC,10% шанс создать монету при перемещении по клетке.
PASSIVE_DEATHPROOF_NAME,Бессмертный
PASSIVE_DEATHPROOF_DESC,В поверженном состоянии 25% шанс воскреснуть с 1 ОЗ в конце каждого раунда.
PASSIVE_DEATHPROOF2_DESC,В поверженном состоянии 33% шанс воскреснуть с 10 ОЗ и повышением всех характеристик в конце каждого раунда.
PASSIVE_LEADER_NAME,Лидер
PASSIVE_LEADER_DESC,Соседние союзники получают +1 к урону и +1 к дальности.
PASSIVE_LEADER2_DESC,Все союзники получают +1 к урону и +1 к дальности.
PASSIVE_MANGE_NAME,Чесотка
PASSIVE_MANGE_DESC,Накладывает Яд 1 на юнитов при контакте с вами.
PASSIVE_MANGE2_DESC,"Накладывает 1 Яд, Кровотечение, Ушиб, Слабость и Пиявку на юнитов при контакте с вами."
PASSIVE_ETANK_NAME,Энерго-бак
PASSIVE_ETANK_DESC,Начинайте каждый бой с +20 незаполненного макс. здоровья.
PASSIVE_ETANK2_DESC,Начинайте каждый бой с +50 незаполненного макс. здоровья.
PASSIVE_CAREFUL_NAME,Осторожность
PASSIVE_CAREFUL_DESC,Урон по вашим союзникам снижается до 0.
PASSIVE_CAREFUL2_DESC,"Урон по вашим союзникам снижается до 0. Вы не можете накладывать ослабления на союзников.
Вы осторожны и во многих других аспектах."
PASSIVE_DIRTYCLAWS_NAME,Грязные когти
PASSIVE_DIRTYCLAWS_DESC,Ваши физические атаки по отравленным или кровоточащим врагам накладывают +1 Яд и/или Кровотечение.
PASSIVE_DIRTYCLAWS2_DESC,"Ваша базовая атака накладывает Яд 1 и Кровотечение 1.
Ваши физические атаки по отравленным или кровоточащим врагам накладывают +1 Яд и/или Кровотечение."
PASSIVE_LATEBLOOMER_NAME,Поздний расцвет
PASSIVE_LATEBLOOMER_DESC,На 5-м ходу вы получаете повышение всех характеристик на 3.
PASSIVE_LATEBLOOMER2_DESC,На 3-м ходу вы получаете повышение всех характеристик на 3.
PASSIVE_STUDY_NAME,Изучение
PASSIVE_STUDY_DESC,+1 [img:int] при первом попадании атакой или способностью по новому типу юнита.
PASSIVE_STUDY2_DESC,+1 [img:int] при первом попадании по новому типу юнита. Все враги этого типа получают Метку.
PASSIVE_SKILLSHARE_NAME,Обмен навыками
PASSIVE_SKILLSHARE_DESC,Ваша вторая пассивка передаётся другим котам в группе в начале каждого боя.
PASSIVE_SKILLSHARE2_DESC,Ваша вторая пассивка передаётся другим котам в группе в начале каждого боя. При разведении потомство всегда унаследует вашу вторую пассивку.
PASSIVE_NATURALHEALING_NAME,Природное исцеление
PASSIVE_NATURALHEALING_DESC,+1 к регенерации здоровья
PASSIVE_NATURALHEALING2_DESC,"+2 к регенерации здоровья.
Соседние союзники получают +1 к регенерации здоровья."
PASSIVE_LONGSHOT_NAME,Снайпер
PASSIVE_LONGSHOT_DESC,+1 к дальности.
PASSIVE_LONGSHOT2_DESC,"+2 к дальности.
Дальние атаки имеют +25% к шансу крит. удара."
PASSIVE_FASTFOOTED_NAME,Быстрые лапки
PASSIVE_FASTFOOTED_DESC,Иммунитет к негативным эффектам клеток.
