KEY,en
CLASS_UNLOCK_MEDIC,«Ошейник Жреца» теперь доступен!
CLASS_UNLOCK_THIEF,«Ошейник Вора» теперь доступен!
CLASS_UNLOCK_NECROMANCER,«Ошейник Некроманта» теперь доступен!
CLASS_UNLOCK_BUTCHER,«Ошейник Мясника» теперь доступен!
CLASS_UNLOCK_PSYCHIC,«Ошейник Медиума» теперь доступен!
CLASS_UNLOCK_TINKERER,«Ошейник Изобретателя» теперь доступен!
CLASS_UNLOCK_DRUID,«Ошейник Друида» теперь доступен!
CLASS_UNLOCK_MONK,«Ошейник Монаха» теперь доступен!
CLASS_UNLOCK_JESTER,«Ошейник Шута» теперь доступен!
,
AREA_UNLOCK_SEWERS,Теперь можно отправиться в Канализацию!
AREA_UNLOCK_JUNKYARD,Теперь можно отправиться на Свалку!
AREA_UNLOCK_CAVES,Теперь можно отправиться в Пещеры!
AREA_UNLOCK_BONEYARD,Теперь можно отправиться на Кладбище!
AREA_UNLOCK_DESERT,Теперь можно отправиться в Пустыню!
AREA_UNLOCK_CRATER,Теперь можно отправиться в Кратер!
AREA_UNLOCK_BUNKER,Теперь можно отправиться в Бункер!
AREA_UNLOCK_CORE,Теперь можно отправиться в Ядро!
AREA_UNLOCK_MOON,Теперь можно отправиться на Луну!
AREA_UNLOCK_LAB,Теперь можно отправиться в Лабораторию!
AREA_UNLOCK_ICEAGE,Теперь можно отправиться в прошлое!
AREA_UNLOCK_JURASSIC,Теперь можно отправиться ещё дальше в прошлое!
AREA_UNLOCK_FUTURE,Теперь можно отправиться в будущее!
AREA_UNLOCK_THEEND,Теперь можно отправиться ещё дальше в будущее!
AREA_UNLOCK_THERIFT,Теперь можно отправиться в Разлом!
AREA_UNLOCK_MEATWORLD,Теперь можно отправиться в Пульсирующие Владения!
AREA_UNLOCK_MEATWORLDFULL,Пульсирующий Король требует вашей аудиенции. Теперь у вас полный доступ к его владениям!
,
AREA_UNLOCK_ENDOFTIME,Машина времени теперь может путешествовать в Бесконечность!
,
QUEST_BEGIN_THROBBINGGRISTLE,«Пульсирующий хрящ» найден и добавлен в квестовые предметы!
QUEST_BEGIN_PUTRIDLEECH,«Гнилая пиявка» найдена и добавлена в квестовые предметы!
QUEST_BEGIN_GUILLOTINASHEAD,«Голова Гильотины» найдена и добавлена в квестовые предметы!
,
QUEST_BEGIN_SCALDINGORB,«Обжигающая сфера» найдена и добавлена в квестовые предметы!
QUEST_BEGIN_BLACKSHARD,«Чёрный осколок» найден и добавлен в квестовые предметы!
QUEST_BEGIN_PYROPHINASCOLLAR,"Пирофина благодарит вас за помощь в победе над Заратаной!
«Ошейник Пирофины» добавлен в квестовые предметы!"
QUEST_BEGIN_ZARATANASCOLLAR,"Заратана благодарит вас за помощь в победе над Пирофиной!
«Ошейник Заратаны» добавлен в квестовые предметы!"
,
QUEST_BEGIN_COOLER,«Криогенная камера времени» добавлена в квестовые предметы!
,
QUEST_BEGIN_RECEIVER,«Приёмная антенна» найдена и добавлена в квестовые предметы!
QUEST_BEGIN_TRANSMITTER,«Передающая антенна» найдена и добавлена в квестовые предметы!
QUEST_BEGIN_AMPLIFIER,«Усилитель сигнала» найден и добавлен в квестовые предметы!
,
QUEST_BEGIN_JAR,«Банка радиации!» добавлена в квестовые предметы!
QUEST_BEGIN_NUKE,«Ядерная бомба» добавлена в квестовые предметы!
,
ABILITY_UNLOCK_FIGHTER,Воины теперь могут изучить «Лаполом»!
ABILITY_UNLOCK_HUNTER,Охотники теперь могут изучить «Шар пауков»!
ABILITY_UNLOCK_MAGE,Маги теперь могут изучить «Гиперлуч»!
ABILITY_UNLOCK_MEDIC,Жрецы теперь могут изучить «Эфирный»!
ABILITY_UNLOCK_THIEF,Воры теперь могут изучить «Град когтей»!
ABILITY_UNLOCK_TANK,Танки теперь могут изучить «Суплекс»!
ABILITY_UNLOCK_NECROMANCER,Некроманты теперь могут изучить «Призыв тени»!
ABILITY_UNLOCK_PSYCHIC,Медиумы теперь могут изучить «Сверхновую»!
ABILITY_UNLOCK_TINKERER,Изобретатели теперь могут изучить «Мехакостюм»!
ABILITY_UNLOCK_BUTCHER,Мясники теперь могут изучить «Нашинковать»!
ABILITY_UNLOCK_DRUID,Друиды теперь могут изучить «Призыв медведя»!
ABILITY_UNLOCK_MONK,Монахи теперь могут изучить «Сто лапных пощёчин»!
ABILITY_UNLOCK_COLORLESS,Все коты теперь могут изучить «Метроном»!
ABILITY_UNLOCK_JESTER,У Шутов появилось ещё больше трюков в запасе!
,
PASSIVE_UNLOCK_FIGHTER,Воины теперь могут изучить «Двойное оружие»!
PASSIVE_UNLOCK_HUNTER,Охотники теперь могут изучить «Азарт охоты»!
PASSIVE_UNLOCK_MAGE,Маги теперь могут изучить «Тройку»!
PASSIVE_UNLOCK_MEDIC,Жрецы теперь могут изучить «Злой покровитель»!
PASSIVE_UNLOCK_THIEF,Воры теперь могут изучить «Первый удар»!
PASSIVE_UNLOCK_TANK,Танки теперь могут изучить «Вышибала»!
PASSIVE_UNLOCK_NECROMANCER,Некроманты теперь могут изучить «Servus Mortem»!
PASSIVE_UNLOCK_PSYCHIC,Медиумы теперь могут изучить «Гравитационный колодец»!
PASSIVE_UNLOCK_TINKERER,Изобретатели теперь могут изучить «Специалист по броне»!
PASSIVE_UNLOCK_BUTCHER,Мясники теперь могут изучить «Несварение»!
PASSIVE_UNLOCK_DRUID,Друиды теперь могут изучить «Отряд смертников»!
PASSIVE_UNLOCK_MONK,Монахи теперь могут изучить «Неудержимый»!
PASSIVE_UNLOCK_COLORLESS,Все коты теперь могут изучить «Обмен навыками»!
PASSIVE_UNLOCK_JESTER,У Шутов появилось ещё больше трюков в запасе!
,
ABILITY_UNLOCK_FIGHTER_COLORLESS,Все коты теперь могут изучить «Путь Воина»!
ABILITY_UNLOCK_HUNTER_COLORLESS,Все коты теперь могут изучить «Путь Охотника»!
ABILITY_UNLOCK_MAGE_COLORLESS,Все коты теперь могут изучить «Путь Мага»!
ABILITY_UNLOCK_MEDIC_COLORLESS,Все коты теперь могут изучить «Путь Жреца»!
ABILITY_UNLOCK_THIEF_COLORLESS,Все коты теперь могут изучить «Путь Вора»!
ABILITY_UNLOCK_TANK_COLORLESS,Все коты теперь могут изучить «Путь Танка»!
ABILITY_UNLOCK_NECROMANCER_COLORLESS,Все коты теперь могут изучить «Путь Некроманта»!
ABILITY_UNLOCK_PSYCHIC_COLORLESS,Все коты теперь могут изучить «Путь Медиума»!
ABILITY_UNLOCK_TINKERER_COLORLESS,Все коты теперь могут изучить «Путь Изобретателя»!
ABILITY_UNLOCK_BUTCHER_COLORLESS,Все коты теперь могут изучить «Путь Мясника»!
ABILITY_UNLOCK_DRUID_COLORLESS,Все коты теперь могут изучить «Путь Друида»!
ABILITY_UNLOCK_MONK_COLORLESS,Все коты теперь могут изучить «Путь Монаха»!
ABILITY_UNLOCK_COLORLESS_COLORLESS,Все коты теперь могут изучить «Путь Пустоты»!
ABILITY_UNLOCK_JESTER_COLORLESS,Все коты теперь могут изучить «Путь Шута»!
,
PASSIVE_UNLOCK_FIGHTER_COLORLESS,Все коты теперь могут изучить «Душу Воина»!
PASSIVE_UNLOCK_HUNTER_COLORLESS,Все коты теперь могут изучить «Душу Охотника»!
PASSIVE_UNLOCK_MAGE_COLORLESS,Все коты теперь могут изучить «Душу Мага»!
PASSIVE_UNLOCK_MEDIC_COLORLESS,Все коты теперь могут изучить «Душу Жреца»!
PASSIVE_UNLOCK_THIEF_COLORLESS,Все коты теперь могут изучить «Душу Вора»!
PASSIVE_UNLOCK_TANK_COLORLESS,Все коты теперь могут изучить «Душу Танка»!
PASSIVE_UNLOCK_NECROMANCER_COLORLESS,Все коты теперь могут изучить «Душу Некроманта»!
PASSIVE_UNLOCK_PSYCHIC_COLORLESS,Все коты теперь могут изучить «Душу Медиума»!
PASSIVE_UNLOCK_TINKERER_COLORLESS,Все коты теперь могут изучить «Душу Изобретателя»!
PASSIVE_UNLOCK_BUTCHER_COLORLESS,Все коты теперь могут изучить «Душу Мясника»!
PASSIVE_UNLOCK_DRUID_COLORLESS,Все коты теперь могут изучить «Душу Друида»!
PASSIVE_UNLOCK_MONK_COLORLESS,Все коты теперь могут изучить «Душу Монаха»!
PASSIVE_UNLOCK_COLORLESS_COLORLESS,Все коты теперь могут изучить «Душу Пустоты»!
PASSIVE_UNLOCK_JESTER_COLORLESS,Все коты теперь могут изучить «Душу Шута»!
,
SONG_UNLOCK_ALLEY,«Eatin' Rats» теперь в плейлисте радио!
SONG_UNLOCK_SEWERS,«Flush» теперь в плейлисте радио!
SONG_UNLOCK_JUNKYARD,«Chumbucket Kitty» теперь в плейлисте радио!
SONG_UNLOCK_CAVES,«Crystalline Dreams» теперь в плейлисте радио!
SONG_UNLOCK_BONEYARD,«Them Kitty Bones» теперь в плейлисте радио!
SONG_UNLOCK_MEATWORLD,«Sweet Delicious» теперь в плейлисте радио!
SONG_UNLOCK_THROBBINGKING,«Throbbing King» теперь в плейлисте радио!
SONG_UNLOCK_GUILLOTINA,«Guillotina» теперь в плейлисте радио!
SONG_UNLOCK_DESERT,«Lonesome Road» теперь в плейлисте радио!
SONG_UNLOCK_CRATER,«Feline Invader» теперь в плейлисте радио!
SONG_UNLOCK_BUNKER,«Alone in the Dark» теперь в плейлисте радио!
SONG_UNLOCK_MOON,«So High» теперь в плейлисте радио!
SONG_UNLOCK_CORE,«Down with the Devil» теперь в плейлисте радио!
SONG_UNLOCK_DIMENSIONX,«Chaos» теперь в плейлисте радио!
SONG_UNLOCK_SCRAMBLED,«Scrambled» теперь в плейлисте радио!
SONG_UNLOCK_KAIJUS,«Brush Your Teeth» теперь в плейлисте радио!
SONG_UNLOCK_LAB,«Endless Misery» теперь в плейлисте радио!
SONG_UNLOCK_FUTURE,«Humanicide» теперь в плейлисте радио!
SONG_UNLOCK_ICEAGE,«Mom I Really Hate You» теперь в плейлисте радио!
SONG_UNLOCK_THEEND,«We're Dead» теперь в плейлисте радио!
SONG_UNLOCK_JURASSIC,«Tuff» теперь в плейлисте радио!
SONG_UNLOCK_THEINFINITE,«Angel Wings» теперь в плейлисте радио!
SONG_UNLOCK_FINALBOSS,«Dig Your Own Grave» теперь в плейлисте радио!
SONG_UNLOCK_TERMINATOR,«Taser Paws» теперь в плейлисте радио!
SONG_UNLOCK_HITLERIII,«Crack of Doom» теперь в плейлисте радио!
SONG_UNLOCK_CHAOS_FORWARD,«Crazy Days» теперь в плейлисте радио!
SONG_UNLOCK_CHAOS_BACKWARD,«Bolt of Lightning» теперь в плейлисте радио!
,
ITEM_UNLOCK_GENERIC,«{item}» разблокирован!
,
CUTSCENE_GUILLOTINA_1,Гильотина идёт за тобой!
CUTSCENE_GUILLOTINA_1_REMATCH,Гильотина идёт за тобой!
CUTSCENE_GUILLOTINA_2,Гильотина возвращается!
CUTSCENE_GUILLOTINA_2_REMATCH,Гильотина возвращается!
CUTSCENE_GUILLOTINA_3,Гильотина жаждет мести!
CUTSCENE_GUILLOTINA_3_REMATCH,Гильотина жаждет мести!
CUTSCENE_PYROPHINA,Пирофина уже в пути!
CUTSCENE_PYROPHINA_REMATCH,Пирофина уже в пути!
CUTSCENE_ZARATANA,Заратана уже в пути!
CUTSCENE_ZARATANA_REMATCH,Заратана уже в пути!
CUTSCENE_KAIJUFIGHT,Кайдзю несут битву к тебе!
CUTSCENE_KAIJUFIGHT_REMATCH,Кайдзю несут битву к тебе!
CUTSCENE_TERMINATOR_1,C-800 ищет тебя!
CUTSCENE_TERMINATOR_1_REMATCH,C-800 ищет тебя!
CUTSCENE_TERMINATOR_2,C-1000 вышел на охоту!
CUTSCENE_TERMINATOR_2_REMATCH,C-1000 вышел на охоту!
CUTSCENE_TERMINATOR_3,Гитлер вернулся!
CUTSCENE_TERMINATOR_3_REMATCH,Гитлер вернулся!
,
//npc favor unlocks,
FAVOR_BEANIES_INTRO,Особое задание.
FAVOR_BEANIES_REPEAT,Побочный квестовый предмет.
FAVOR_BUTCH_UPGRADE,Улучшить хранилище предметов.
FAVOR_TINK_BOW,Это секрет!
FAVOR_TINK_TAGS,Кое-что для организации котов.
FAVOR_TINK_BASESTATS,Информация для разведения котов.
FAVOR_TINK_INBREEDING,Способ проверить родословную кота.
FAVOR_TINK_AGRESSION,Информация о характере кота.
FAVOR_TINK_SEXUALITY,Гейдар.
FAVOR_TINK_RELATIONSHIPS,Информация об отношениях кота.
FAVOR_TINK_MAX,25 монет
FAVOR_FRANK_ATTIC,Чердак.
FAVOR_FRANK_ROOM,Ещё одна комната для дома.
FAVOR_FRANK_PARASITE,Случайный паразит.
FAVOR_JACK_UPGRADE,Больше мебели на продажу.
FAVOR_JACK_MAX,Повышает шанс редкой мебели в магазине.
FAVOR_TRACY_FOOD,Пополняет запас коробки с едой.
FAVOR_TRACY_COLLAR,Пополняет запас пустого ошейника.
FAVOR_TRACY_IDOL,Пополняет запас особого мебельного идола.
FAVOR_TRACY_RARE,Пополняет запас случайного редкого предмета по дешёвке.
FAVOR_GRINDER_UPGRADE,Восстанавливает больше вещей из проигранных забегов.
FAVOR_GRINDER_SYRINGE,Случайный шприц с расстройством.
