KEY,en
PLAYER_CAT_NAME,{Catname}
PLAYER_CAT_NAME_M,
PLAYER_CAT_NAME_F,
PLAYER_CAT_NAME_N,
PLAYER_CAT_DESC,Кот.
PLAYER_MINIME_NAME,Мини-{Catname}
PLAYER_MINIME_NAME_M,
PLAYER_MINIME_NAME_F,
PLAYER_MINIME_NAME_N,
PLAYER_MINIMINIME_NAME,Мини-мини-{Catname}
PLAYER_MINIMINIME_NAME_M,
PLAYER_MINIMINIME_NAME_F,
PLAYER_MINIMINIME_NAME_N,
PLAYER_CATCLONE_NAME,Клон {Catname}
PLAYER_CATCLONE_NAME_M,
PLAYER_CATCLONE_NAME_F,
PLAYER_CATCLONE_NAME_N,
PLAYER_FLESHGOLEM_NAME,Голем из плоти
//enemies,
ENEMY_FLY_NAME,Муха
ENEMY_FLY_DESC,"Ближний бой.
Летает."
ENEMY_MAGGOT_NAME,Личинка
ENEMY_MAGGOT_DESC,Ближний бой.
ENEMY_FLEA_NAME,Блоха
ENEMY_FLEA_DESC,Её атака ближнего боя наносит урон ей самой.
ENEMY_PINKY_NAME,Пинки
ENEMY_PINKY_DESC,"Ближний бой.
Двигается хаотично."
ENEMY_MEATMINION_NAME,Мясной прислужник
ENEMY_MEATMINION_DESC,
ENEMY_DIP_NAME,Какашка
ENEMY_DIP_DESC,Ближний бой.
ENEMY_RATTLESNEK_NAME,Гремучка
ENEMY_RATTLESNEK_DESC,"Устраивает засаду на врагов, проходящих мимо.
Атаки накладывают Отравление."
ENEMY_SPIDERLING_NAME,Паучок
ENEMY_SPIDERLING_DESC,"Забирается внутрь жертвы, накладывая Заражение."
ENEMY_WISP_NAME,Огонёк
ENEMY_WISP_DESC,"Атака ближнего боя накладывает Ожог.
Уклоняется от одной атаки за ход."
ENEMY_MOONWORM_NAME,Лунный червь
ENEMY_MOONWORM_DESC,"Обстреливает всех врагов в зоне досягаемости.
Получает +1 Стойкость при получении урона."
ENEMY_INVADER_NAME,Шпиденбот
ENEMY_INVADER_DESC,Атака ближнего боя накладывает Отравление.
ENEMY_TINYTUMOR_NAME,Крошечная опухоль
ENEMY_TINYTUMOR_DESC,Атака ближнего боя отнимает у котов 1 [img:con] навсегда и может вызвать рак.
ENEMY_CLOT_NAME,Сгусток
ENEMY_CLOT_DESC,В конце хода может превратиться в Стволового кота.
ENEMY_FRANKSBEAN_NAME,Бобок Фрэнка
ENEMY_LOUSE_NAME,Вошь
ENEMY_LOUSE_DESC,Атака ближнего боя накладывает Ушиб.
ENEMY_LILRAT_NAME,Крысёнок
ENEMY_LILRAT_DESC,Бросается по прямой линии.
ENEMY_POOTER_NAME,Пукер
ENEMY_POOTER_DESC,Дальний бой. Летает.
ENEMY_WORM_NAME,Червь
ENEMY_WORM_DESC,Отползает при получении урона.
ENEMY_MADLAD_NAME,Безумец
ENEMY_MADLAD_DESC,
ENEMY_GASSER_NAME,Газовик
ENEMY_GASSER_DESC,
ENEMY_RAGER_NAME,Бешеный
ENEMY_RAGER_DESC,
ENEMY_CUTTER_NAME,Резчик
ENEMY_CUTTER_DESC,
ENEMY_BLORB_NAME,Блорб
ENEMY_BLORB_DESC,Дальняя атака накладывает Замедление по площади.
ENEMY_FLORB_NAME,Флорб
ENEMY_FLORB_DESC,Дальняя атака накладывает Замедление. Летает.
ENEMY_LUMPY_NAME,Бугристый
ENEMY_LUMPY_DESC,Дальняя атака создаёт Слизь. Порождает Слизь при получении урона.
ENEMY_LEAPER_NAME,Прыгун
ENEMY_LEAPER_DESC,Атака прыжком наносит урон и отбрасывает всех соседних юнитов.
ENEMY_BOMBFLY_NAME,Муха-бомба
ENEMY_BOMBFLY_DESC,Взрывается при смерти.
ENEMY_BURFERMAGGOT_NAME,Личинка-плевака
ENEMY_BURFERMAGGOT_DESC,Атака окружает юнитов колючими наростами.
ENEMY_CHARGEYMAGGOT_NAME,Личинка-таран
