KEY,en
WEATHER_NONE_NAME,Ясное небо
WEATHER_NONE_DESC,Погодных эффектов нет.
WEATHER_FOG_NAME,Туман
WEATHER_FOG_DESC,Все атаки и способности имеют +10% шанс промахнуться.
WEATHER_RAIN_NAME,Дождь
WEATHER_RAIN_DESC,Постоянный элемент воды.
WEATHER_HEAVYRAIN_NAME,Ливень
WEATHER_HEAVYRAIN_DESC,Постоянный элемент воды. В каждом бою появляются дополнительные клетки воды.
WEATHER_WINDY_NAME,Ветрено
WEATHER_WINDY_DESC,В конце каждого раунда ветер сдувает всё на 1 клетку в случайном направлении.
WEATHER_SANDSTORM_NAME,Песчаная буря
WEATHER_SANDSTORM_DESC,В конце каждого раунда всё получает 1 урон.
WEATHER_OVERGROWTH_NAME,Буйная растительность
WEATHER_OVERGROWTH_DESC,В каждом бою появляются дополнительные клетки высокой травы и шиповника.
WEATHER_EARTHQUAKE_NAME,Землетрясение
WEATHER_EARTHQUAKE_DESC,Произошло землетрясение! Объекты в каждом бою разрушены и повсюду камни!
WEATHER_WILDFIRE_NAME,Пожар
WEATHER_WILDFIRE_DESC,Повсюду огонь!
WEATHER_HEATWAVE_NAME,Жара
WEATHER_HEATWAVE_DESC,Коты не исцеляются после боя. Всё исцеление уменьшено на 1. Можно смягчить водой.
WEATHER_SNOW_NAME,Снег
WEATHER_SNOW_DESC,Постоянный элемент льда.
WEATHER_ACIDRAIN_NAME,Кислотный дождь
WEATHER_ACIDRAIN_DESC,В конце каждого раунда всё получает 2 урона с шансом понизить случайную характеристику.
WEATHER_METEORS_NAME,Метеоритный дождь
WEATHER_METEORS_DESC,После каждого хода есть шанс падения горящего метеорита на случайную клетку.
WEATHER_THUNDERSTORM_NAME,Гроза
WEATHER_THUNDERSTORM_DESC,Постоянный элемент воды. В конце каждого раунда ветер сдувает всё на 1 клетку в случайном направлении. После каждого хода есть шанс случайного удара молнии.
WEATHER_FLASHFLOOD_NAME,Наводнение
WEATHER_FLASHFLOOD_DESC,Постоянный элемент воды. В каждом бою появляется тонна дополнительных клеток воды.
WEATHER_TRASHDAY_NAME,День мусора
WEATHER_TRASHDAY_DESC,В каждом бою появляется дополнительный хлам.
WEATHER_FROGS_NAME,Дождь из лягушек
WEATHER_FROGS_DESC,В каждом бою появляются дополнительные нейтральные лягушки.
WEATHER_BLOCKAGE_NAME,Засор труб
WEATHER_BLOCKAGE_DESC,В каждом бою появляются дополнительные какашки и нечистоты.
WEATHER_PAYDAY_NAME,День зарплаты
WEATHER_PAYDAY_DESC,В каждом бою появляются дополнительные монеты.
WEATHER_HUNTING_NAME,Сезон охоты
WEATHER_HUNTING_DESC,В каждом бою появляются дополнительные медвежьи капканы.
WEATHER_RESTLESS_NAME,Беспокойные мертвецы
WEATHER_RESTLESS_DESC,Зомби появляются в конце каждого раунда.
WEATHER_FIREFLY_NAME,Рой светлячков
WEATHER_FIREFLY_DESC,Все союзники получают +2 к удаче.
WEATHER_BUTTERFLY_NAME,Рой бабочек
WEATHER_BUTTERFLY_DESC,Все союзники получают +2 к удаче.
WEATHER_FLYSWARM_NAME,Рой мух
WEATHER_FLYSWARM_DESC,В конце каждого хода есть шанс быть укушенным на 1 урона и 1 Кровотечение.
WEATHER_TORFLIES_NAME,Рой мух
WEATHER_TORFLIES_DESC,Тут полно мух!
WEATHER_LOWGRAV_NAME,Низкая гравитация
WEATHER_LOWGRAV_DESC,"Прыжки, броски и способности-снаряды имеют +2 к дальности. Все физические способности имеют +1 к Отбросу. Другие способности с Отбросом тоже получают +1 к Отбросу."
WEATHER_FIRESTORM_NAME,Огненный шторм
WEATHER_FIRESTORM_DESC,Постоянный элемент огня. Огонь больше не гаснет. Части карты объяты пламенем.
WEATHER_KAIJUFIRE_NAME,Огненный шторм
WEATHER_KAIJUFIRE_DESC,Постоянный элемент огня. С неба периодически падают огненные шары. Огонь больше не гаснет.
WEATHER_METEORNADO_NAME,Метеорнадо
WEATHER_METEORNADO_DESC,В конце каждого раунда всё получает 1 урон с 33% шансом нанести Ушиб.
WEATHER_KAIJUMETEORNADO_NAME,Метеорнадо
WEATHER_KAIJUMETEORNADO_DESC,В конце каждого раунда всё получает 1 урон с 33% шансом нанести Ушиб.
WEATHER_KAIJUMETEORSOLO_NAME,Метеорнадо
WEATHER_KAIJUMETEORSOLO_DESC,В конце каждого раунда всё получает 1 урон с 33% шансом нанести Ушиб.
WEATHER_ROBOTS_NAME,Восстание роботов
WEATHER_ROBOTS_DESC,В каждом бою появляются 2-4 робота. Все роботы вышли из-под контроля!
WEATHER_HAUNTED_NAME,Ночь призраков
WEATHER_HAUNTED_DESC,В каждом бою появляются 2-4 призрака. Все призраки вышли из-под контроля!
WEATHER_MIGRATION_NAME,Миграция птиц
WEATHER_MIGRATION_DESC,В каждом бою появляются 1-2 дополнительные птицы.
WEATHER_COCKROACHES_NAME,Нашествие тараканов
WEATHER_COCKROACHES_DESC,Все юниты имеют 25% шанс начать каждый бой со Страхом или Ядом.
WEATHER_JUDGEMENT_NAME,Судный день
WEATHER_JUDGEMENT_DESC,Некоторые клетки будут вознесены в конце каждого раунда во время боя. С каждым раундом затрагивается всё больше клеток.
WEATHER_PANDEMONIUM_NAME,Пандемониум
WEATHER_PANDEMONIUM_DESC,Все юниты имеют 25% шанс получить Безумие каждый раунд.
WEATHER_HOLLOWING_NAME,Опустошение
WEATHER_HOLLOWING_DESC,В конце раунда каждый труп имеет 25% шанс воскреснуть с половиной здоровья и Безумием 5.
WEATHER_OILSPILL_NAME,Разлив нефти
WEATHER_OILSPILL_DESC,В каждом бою появляется лужа дёгтя.
WEATHER_BLIZZARD_NAME,Метель!
WEATHER_BLIZZARD_DESC,Постоянный элемент льда. В конце каждого раунда ветер сдувает всё на 1 клетку в случайном направлении. После каждого хода есть шанс случайного удара молнии.
WEATHER_HURRICANE_NAME,Ураган!
WEATHER_HURRICANE_DESC,В конце каждого раунда ветер сдувает всё на 10 клеток в случайном направлении.
WEATHER_STRANGESPIKES_NAME,Странные шипы!
WEATHER_STRANGESPIKES_DESC,В конце раунда все юниты получают +1 к Шипам.
WEATHER_BLESSED_NAME,Благословенный день!
WEATHER_BLESSED_DESC,Все юниты получают +3 к регенерации здоровья. Постоянный святой элемент.
WEATHER_STEALTH_NAME,Стелс-миссия
WEATHER_STEALTH_DESC,Все юниты получают Невидимость в начале боя.
WEATHER_INFESTATION_NAME,Заражение
WEATHER_INFESTATION_DESC,Все не-крошечные юниты при смерти взрываются в личинок или мух.
WEATHER_ERUPTION_NAME,Извержение
WEATHER_ERUPTION_DESC,В каждом бою появляется мини-вулкан.
WEATHER_DRUGS_NAME,День борьбы с наркотиками
WEATHER_DRUGS_DESC,В каждом бою появляется дополнительная кошачья мята. После каждого боя находится случайная таблетка.
WEATHER_TRAININGDAY_NAME,День тренировки
WEATHER_TRAININGDAY_DESC,В каждом бою появляется боксёрская груша с Кинетическими шипами 5.
WEATHER_TORNADOES_NAME,Торнадо
WEATHER_TORNADOES_DESC,Смерчи появляются каждый раунд.
WEATHER_CRAZY_NAME,Безумная погода
