KEY,en,notes,sp,fr,de,it,pt-br
ABILITY_BLOCK_NAME,Block,,Bloqueo,Résistance,Blocken,Parata,Bloqueio
ABILITY_BLOCK_DESC,Gain +2 [img:shield].,,Obtiene +2 [img:shield].,[img:shield]&nbsp;+2.,Erhalte +2&nbsp;[img:shield].,Ottieni +2 allo [img:shield].,Obtenha +2 de [img:shield].
ABILITY_BLOCK2_DESC,Gain +5 [img:shield].,,Obtiene +5 [img:shield].,[img:shield]&nbsp;+5.,Erhalte +5&nbsp;[img:shield].,Ottieni +5 allo [img:shield].,Obtenha +5 de [img:shield].
ABILITY_REST_NAME,Rest,,Descanso,Repos,Schläfchen,Riposo,Descanso
ABILITY_REST_DESC,"Heal some HP, then fall asleep.",,Recupera algunos PS y luego se duerme.,Vous regagnez un peu de PV avant de vous endormir.,Stelle ein paar LP wieder her und schlafe anschließend ein.,"Rigeneri alcuni PS, poi ti addormenti.","Cure um pouco de saúde, e então caia no sono."
ABILITY_REST2_DESC,"Heal a lot of HP, then fall asleep.",,Recupera muchos PS y luego se duerme.,Vous regagnez beaucoup de PV avant de vous endormir.,Stelle viel LP wieder her und schlafe anschließend ein.,"Rigeneri molti PS, poi ti addormenti.","Cure muita saúde, e então caia no sono."
ABLITY_BRACE_NAME,Brace,,Refuerzo,Garde,Wappnen,Guardia,Preparação
ABLITY_BRACE_DESC,Gain +1 temporary Brace until your next turn.,,Obtiene +1 de refuerzo temporal hasta el próximo turno.,Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour.,Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen.,Ottieni +1 Guardia temporanea fino al tuo prossimo turno.,Obtenha +1 de preparação temporária até seu próximo turno.
ABLITY_BRACE2_DESC,Gain +1 temporary Brace and +1 temporary Thorns until your next turn.,,Obtiene +1 de refuerzo temporal y +1 de espinas temporal hasta el próximo turno.,Garde temporaire&nbsp;+1&nbsp;et Épines temporaires&nbsp;+1&nbsp;jusqu'à votre prochain tour.,Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und +1 vorübergehende Dornen.,Ottieni +1 Guardia temporanea e +1 Spine temporanee fino al tuo prossimo turno.,Obtenha +1 de preparação temporária e +1 de espinhos temporários até seu próximo turno.
ABILITY_GROOM_NAME,Groom,,Acicalamiento,Toilettage,Schlecken,Toelettatura,Enfeitar
ABILITY_GROOM_DESC,Remove all of the debuffs on yourself or an adjacent unit.,,Se elimina todas las desventajas de sí misma o de una adyacente.,Retire tous les malus sur vous ou une unité adjacente.,"Entferne alle Schwächungen, von denen du oder eine benachbarte Einheit betroffen ist.",Rimuove tutti i malus da te o da un'unità adiacente,Remova todos os enfraquecimentos de si e de uma unidade adjacente.
ABILITY_GROOM2_DESC,Remove all of the debuffs and heal a little HP to yourself or an adjacent unit.,,Se elimina todas las desventajas de sí misma o de una adyacente y le devuelve algunos PS.,Retire tous les malus sur vous ou une unité adjacente et soigne quelques PV.,"Entferne alle Schwächungen, von denen du oder eine benachbarte Einheit betroffen ist und heile dich oder die Einheit.",Rimuove tutti i malus da te o da un'unità adiacente e cura una piccola quantità di PS.,Remova todos os enfraquecimentos e cure um pouco da sua saúde ou de uma unidade adjacente.
ABILITY_ROLL_NAME,Roll,,Rodar,Roulade,Rolle,Rotolamento,Cambalhota
ABILITY_ROLL_DESC,Roll up to three tiles in a straight line.,,Rueda hasta 3 casillas en línea recta.,Roulez sur&nbsp;1&nbsp;à&nbsp;3&nbsp;cases en ligne droite.,Rolle bis zu drei Felder in einer geraden Linie.,Rotola fino a una distanza di tre caselle in linea retta.,Role por até três espaços em uma linha reta.
ABILITY_ROLL2_DESC,Roll up to ten tiles in a straight line.,,Rueda hasta 10 casillas en línea recta.,Roulez sur&nbsp;1&nbsp;à&nbsp;10&nbsp;cases en ligne droite.,Rolle bis zu zehn Felder in einer geraden Linie.,Rotola fino a una distanza di dieci caselle in linea retta.,Role por até dez espaços em uma linha reta.
ABILITY_SHARPENCLAWS_NAME,Sharpen Claws,,Afilado de garras,Griffes aiguisées,Krallen schärfen,Artigli Affilati,Afiar garras
ABILITY_SHARPENCLAWS_DESC,Gain +1 [img:str].,,Obtiene +1 [img:str].,[img:str]&nbsp;+1.,Erhalte +1&nbsp;[img:str].,Ottieni +1 alla [img:str].,Obtenha +1 de [img:str].
ABILITY_SHARPENCLAWS2_DESC,"Gain +1 [img:str].
Bonus Passive: Your basic attack inflicts Bleed.",,"Obtiene +1 [img:str].
Pasiva de bonificación: El ataque básico inflige hemorragia.",[img:str]&nbsp;+1. Passif bonus&nbsp;: votre attaque de base inflige Saignement.,"Erhalte +1&nbsp;[img:str].
Bonuspassiveffekt: Dein Grundangriff verursacht Blutung.","Ottieni +1 alla [img:str].
Bonus Passivo: il tuo attacco base infligge Sanguinamento.","Obtenha +1 de [img:str].
Bônus passivo: seu ataque básico aplica sangramento."
ABILITY_REACH_NAME,Reach,,Extensión,Allonge,Strecken,Portata,Alcance
ABILITY_REACH_DESC,Your next basic attack has +1 range.,,El siguiente ataque básico tiene +1 de alcance.,Votre prochaine attaque de base gagne Portée&nbsp;+1.,Dein nächster Grundangriff hat +1&nbsp;Reichweite.,Il tuo prossimo attacco base ha +1 al raggio d'azione.,Seu próximo ataque possui +1 de alcance.
ABILITY_REACH2_DESC,Your next basic attack has +3 range.,,El siguiente ataque básico tiene +3 de alcance.,Votre prochaine attaque de base gagne Portée&nbsp;+3.,Dein nächster Grundangriff hat +3&nbsp;Reichweite.,Il tuo prossimo attacco base ha +3 al raggio d'azione.,Seu próximo ataque possui +3 de alcance.
ABILITY_BORROWMANA_NAME,Borrow Mana,,Préstamo de maná,Emprunt de mana,Mana leihen,Prestito di Mana,Empréstimo de mana
ABILITY_BORROWMANA_DESC,"Steal up to 5 mana from an ally.
[s:.7](Castable once per turn.)[/s]",,"Roba 5 de maná a un aliado.
[s:.7](Se puede lanzar una vez por turno).[/s]",Volez jusqu'à 5&nbsp;mana à une unité alliée. [s:.7](Une fois par tour.)[/s],"Sauge einem Verbündeten bis zu 5&nbsp;Mana ab.
[s:.7](Einmal pro Zug verwendbar.)[/s]","Ruba fino a 5 mana da un alleato.
[s:.7](Lanciabile una volta per turno.)[/s]","Roube até 5 de mana de um aliado.
[s:.7](Um lançamento por turno.)[/s]"
ABILITY_BORROWMANA2_DESC,"Steal all of an ally's mana.
[s:.7](Castable once per turn.)[/s]",,"Roba todo el maná de un aliado.
[s:.7](Se puede lanzar una vez por turno).[/s]",Volez tout le mana d'une unité alliée. [s:.7](Une fois par tour.)[/s],"Sauge einem Verbündeten sämtliches Mana ab.
[s:.7](Einmal pro Zug verwendbar.)[/s]","Ruba tutto il mana di un alleato.
[s:.7](Lanciabile una volta per turno.)[/s]","Roube toda a mana de um aliado.
[s:.7](Um lançamento por turno.)[/s]"
ABILITY_SOOTHINGGLOW_NAME,Soothing Glow,,Brillo calmante,Éclat apaisant,Beruhigender Schein,Bagliore Lenitivo,Brilho Calmante
ABILITY_SOOTHINGGLOW_DESC,Heal yourself 1.,,Recupera 1 PS.,Soignez-vous de 1.,Heile dich um 1&nbsp;LP.,Ti curi di 1 PS.,Cure 1 ponto de sua saúde.
ABILITY_SOOTHINGGLOW2_DESC,Heal yourself 1 and gain +1 to a random stat.,,Recupera 1 PS y obtiene +1 de un atributo al azar.,Soignez-vous de 1&nbsp;et gagnez +1&nbsp;à une stat aléatoire.,Heile dich um 1&nbsp;LP und erhalte +1 auf ein zufälliges Attribut.,Ti curi di 1 PS e ottieni +1 a una statistica casuale.,Cure 1 ponto de sua saúde e obtenha +1 em um atributo aleatório.
ABILITY_PONDER_NAME,Ponder,,Reflexión,Réflexion,Grübeln,Meditazione,Ponderação
ABILITY_PONDER_DESC,Gain +1 [img:int].,,Obtiene +1 [img:int].,[img:int]&nbsp;+1.,Erhalte +1&nbsp;[img:int].,Ottieni +1 all'[img:int].,Obtenha +1 de [img:int].
ABILITY_PONDER2_DESC,Gain +1 [img:int] and conjure a random bonus ability.,,Obtiene +1 [img:int] e invoca una habilidad de bonificación al azar.,[img:int]&nbsp;+1&nbsp;et conjure une compétence bonus aléatoire.,Erhalte +1&nbsp;[img:int] und beschwöre eine zufällige Bonusfähigkeit.,Ottieni +1 all'[img:int] ed evochi un'abilità bonus casuale.,Obtenha +1 de [img:int] e conjure uma habilidade bônus aleatória.
ABILITY_FOCUS_NAME,Focus,,Concentración,Concentration,Konzentration,Concentrazione,Concentração
ABILITY_FOCUS_DESC,Gain +1 [img:dex].,,Obtiene +1 [img:dex].,[img:dex]&nbsp;+1.,Erhalte +1&nbsp;[img:dex].,Ottieni +1 alla [img:dex].,Obtenha +1 de [img:dex].
ABILITY_FOCUS2_DESC,"Gain +1 [img:dex].
Bonus Passive: +25% critical hit chance.",,"Obtiene +1 [img:dex].
Pasiva de bonificación: +25 % de probabilidad de golpe crítico.",[img:dex]&nbsp;+1. Passif bonus&nbsp;: chances de coup critique&nbsp;+25&nbsp;%.,"Erhalte +1&nbsp;[img:dex].
Bonuspassiveffekt: +25%&nbsp;kritische Trefferchance.","Ottieni +1 alla [img:dex].
Bonus Passivo: +25% di probabilità di colpo critico.","Obtenha +1 de [img:dex].
Bônus passivo: +25% de chance de crítico."
ABILITY_METABOLIZE_NAME,Metabolize,,Metabolismo,Robustesse,Metabolismus,Metabolizzazione,Metabolização
ABILITY_METABOLIZE_DESC,Gain +1 [img:con].,,Obtiene +1 [img:con].,[img:con]&nbsp;+1.,Erhalte +1&nbsp;[img:con].,Ottieni +1 alla [img:con].,Obtenha +1 de [img:con].
ABILITY_METABOLIZE2_DESC,"Gain +1 [img:con].
Bonus Passive: +3 Health Regeneration.",,"Obtiene +1 [img:con].
Pasiva de bonificación: +3 de regeneración de salud.",[img:con]&nbsp;+1. Passif bonus&nbsp;: régénération de santé&nbsp;+3.,"Erhalte +1&nbsp;[img:con].
Bonuspassiveffekt: +3&nbsp;Lebensregeneration.","Ottieni +1 alla [img:con].
Bonus Passivo: +3 a Rigenerazione Salute.","Obtenha +1 de [img:con].
Bônus passivo: +3 de regeneração de saúde."
ABILITY_BRAINSTORM_NAME,Brainstorm,,Lluvia de ideas,Brainstorming,Geistesblitz,Tempesta Mentale,Troca de Ideias
