KEY,en,notes,sp,fr,de,it,pt-br
//cat quotes,,,,,,,
CAT_VS_BOSS_QUOTES_FIGHTER_1,I'm gonna punch you in your stupid idiot face!,,¡Te voy a quitar esa cara de panoli de un guantazo!,Ta propre mère te reconnaîtra même plus&nbsp;!,Ich schlag dir deine dumme blöde Fresse ein!,Prenderò a pugni quella tua stupida faccia da idiota!,Eu vou socar essa sua cara idiota!
CAT_VS_BOSS_QUOTES_FIGHTER_2,Bashy bashy!,,¡Menos ladrar y más pelear!,"Bim, bam, boum&nbsp;!",Stirb! Zeit zu sterben!,Bung bang!,Bate bate!
CAT_VS_BOSS_QUOTES_FIGHTER_3,Lets GOOOOO!,,¡Arreaaaando!,C'est partiiiii&nbsp;!,Alarm! ALARM!,ANDIAMOOOOO!,VAMOOOOOOSS!
CAT_VS_BOSS_QUOTES_FIGHTER_4,"I may be dumb, but i ain't stupid!",,"Puede que sea idiota, pero no soy gilipuertas.","J'suis un peu bête, mais pas stupide&nbsp;!","Ich bin vielleicht dumm, aber blöd bin ich nicht!","Sarò pure idiota, ma non sono mica imbecille!","Eu posso ser imbecil, mas não idiota!"
CAT_VS_BOSS_QUOTES_FIGHTER_5,I'm here to kick ass and chew bubblegum!,,He venido a repartir leña y a mascar chicle.,"Il est temps de botter des culs et de mâcher du chewing-gum, et je n'ai plus de chewing-gum&nbsp;!",Ich rasier euch!,Sono qui per masticare chewing gum e spaccare culi!,Eu estou aqui para chutar traseiros e mascar chiclete!
CAT_VS_BOSS_QUOTES_FIGHTER_6,I'M GETTING MORE ANGRIER!,,¡SE ME ESTÁN HINCHANDO LOS MORROS!,JE SUIS CARRÉMENT VÉNÈRE&nbsp;!,ICH BIN SO VERDAMMT SAUER!,MI STO ARRABBIANDO SEMPRE DI PIÙ!,EU ESTOU ME IRRITANDO AINDA MAIS!
CAT_VS_BOSS_QUOTES_FIGHTER_7,I'll handle this...,,Yo me encargo...,Je vais m'occuper de ton cas...,Ich kümmere mich drum&nbsp;…,Me ne occupo io...,Eu cuido disso...
CAT_VS_BOSS_QUOTES_FIGHTER_8,I'll eat your children!,,¡Me zamparé a tus hijos!,Je vais bouffer tes morts&nbsp;!,Ich fresse deine Kinder auf!,Mangerò i tuoi figli!,Eu vou devorar sua prole!
CAT_VS_BOSS_QUOTES_FIGHTER_9,I will have my vengeance!,,¡Me vengaré!,J'aurai ma vengeance&nbsp;!,Die Rache wird mein sein!,Avrò la mia vendetta!,Eu terei minha vingança!
CAT_VS_BOSS_QUOTES_HUNTER_1,Over here!... I have found our prey.,,¡Por aquí! He dado con nuestra presa.,Là&nbsp;! Voilà notre proie...,Hier drüben! …&nbsp;Ich habe unsere Beute gefunden.,Da questa parte!... Ho trovato la nostra preda.,Aqui! Eu encontrei sua presa.
CAT_VS_BOSS_QUOTES_HUNTER_2,Me and my vermin will make short work of you!,,¡Mis alimañas y yo te despacharemos en un santiamén!,"Moi et mes vermines, on va faire qu'une bouchée de toi&nbsp;!",Meine Begleiter und ich erledigen das!,Io e i miei parassiti ci sbarazzeremo di te in fretta!,Eu e meu verme vamos acabar com você!
CAT_VS_BOSS_QUOTES_HUNTER_3,I smelled you from a mile away.,,Te he olfateado a un kilómetro de distancia.,Ton odeur te trahit à des kilomètres&nbsp;!,Man kann dich kilometerweit riechen.,Ti ho annusato da un chilometro di distanza.,Eu senti o seu cheiro de longe.
CAT_VS_BOSS_QUOTES_HUNTER_4,I've spotted the enemy!,,¡Enemigo a la vista!,J'ai l'ennemi en ligne de mire&nbsp;!,Gegner gesichtet!,Ho avvistato il nemico!,Eu encontrei o inimigo!
CAT_VS_BOSS_QUOTES_HUNTER_5,Shoot for its many holes!,,¡Disparadle a los agujeritos!,Tirez sur ses points faibles&nbsp;!,Zielt auf die vielen Löcher!,Mira ai suoi tanti buchi!,Atire nos buracos!
CAT_VS_BOSS_QUOTES_HUNTER_6,"Shhhh, I hear something...",,"Silencio, he oído algo...",Chut... J'entends quelque chose...,"Pssst, ich höre etwas&nbsp;…","Shhhh, sento qualcosa...","Shhhh, estou ouvindo algo..."
CAT_VS_BOSS_QUOTES_HUNTER_7,Right between the eyes!,,¡En todo el entrecejo!,En plein dans le mille&nbsp;!,Mitten zwischen die Augen!,Dritto in mezzo agli occhi!,Bem entre os olhos!
CAT_VS_BOSS_QUOTES_HUNTER_8,My vermin will feast on your carcass!,,¡Mis alimañas devorarán tu cadáver!,Mes vermines se repaîtront de ta carcasse&nbsp;!,Meine Begleiter werden sich an deiner Leiche laben!,I miei parassiti banchetteranno col tuo cadavere!,Meu verme vai devorar sua carcaça!
CAT_VS_BOSS_QUOTES_HUNTER_9,You have fallen right into my trap!,,¡Has caído en mi trampa!,Tu es tombé pile dans mon piège&nbsp;!,Du bist in meine Falle getappt!,Ti ho fatto finire nella mia trappola!,Você caiu na minha armadilha!
