KEY,en,notes,sp,fr,de,it,pt-br
EVENT_DEADRAT_NAME,Dead Rat,udpated ✔️,Rata muerta,Rat mort,Tote Ratte,Ratto Morto,Rato Morto
EVENT_DEADRAT_QUES,"{catname} finds a dead rat...

Stench from the corpse fills {his} nose, a powerful but intriguing smell.",,"{catname} encuentra una rata muerta.

El hedor del cadáver le llena la nariz de un olor pungente pero intrigante.","{catname} trouve un rat mort...

La puanteur du cadavre lui emplit les narines. C'est une odeur forte, mais intrigante.","{catname} findet eine tote Ratte&nbsp;…

Der Gestank der Leiche steigt in {his}e Nase&nbsp;… Streng, aber faszinierend.",,"{catname} encontra um rato morto...

O mau cheiro do cadáver preenche seu nariz. Um odor poderoso, porém intrigante."
EVENT_DEADRAT_QUES_M,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere gli riempie il naso: un odore tanto potente quanto intrigante.",
EVENT_DEADRAT_QUES_F,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere le riempie il naso: un odore tanto potente quanto intrigante.",
EVENT_DEADRAT_QUES_N,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere riempie il suo naso: un odore tanto potente quanto intrigante.",
EVENT_DEADRAT_REW1,"{catname} decimates the corpse!

Tiny screams can be heard as nearby rats scamper away in fear!",,"¡{catname} hace trizas el cadáver!

Se oyen los chillidos de ratas cercanas que se escabullen despavoridas.","{catname} massacre le cadavre&nbsp;!

Les rats alentour s'enfuient en poussant de petits cris de peur&nbsp;!","{catname} zerfetzt die Leiche!

Etliche quiekende Schreie ertönen in der Nähe und alle Ratten im Umkreis fliehen vor Angst!","{catname} distrugge il cadavere!

Si sentono piccole urla mentre i vicini ratti sgattaiolano via in preda alla paura!","{catname} estraçalha o cadáver!

Pequenos gritos podem ser ouvidos à medida que ratos próximos fogem apavorados!"
EVENT_DEADRAT_REW1_M,,,,,,,
EVENT_DEADRAT_REW1_F,,,,,,,
EVENT_DEADRAT_REW1_N,,,,,,,
EVENT_DEADRAT_REW2,"{catname} rips the body apart!

Among the remains {he} sees something interesting...
",,"¡{catname} despedaza el cuerpo!

Entre los restos ve algo interesante...
","{catname} éventre le cadavre&nbsp;!

Parmi les restes, {he} ne remarque rien d'intéressant...","{catname} reißt die Leiche auseinander!

In den Überresten findet {he} etwas&nbsp;…
","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...","{catname} destrói o corpo!

Entre os restos, havia algo interessante..."
EVENT_DEADRAT_REW2_M,,,,,,,
EVENT_DEADRAT_REW2_F,,,,,,,
EVENT_DEADRAT_REW2_N,"{catname} rips the body apart!

Among the remains they see something interesting...",,"¡{catname} despedaza el cuerpo!

Entre los restos ve algo interesante...",,"{catname} reißt die Leiche auseinander!

In den Überresten ist etwas verborgen&nbsp;…","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...",
EVENT_DEADRAT_REW3,"{catname} smashes the rat corpse, tearing it limb from limb!

From around {him}, {catname} hears chittering through the walls as angry rats prepare to ambush!",,"¡{catname} destroza el cadáver de la rata y lo descuartiza!

Oye a través de las paredes de su alrededor los chillidos de ratas enfurecidas que se preparan para atacar.","{catname} frappe violemment le cadavre du rat, le démembrant de part en part&nbsp;!

Tout autour, {he} entend des couinements dans les murs. Des rats en colère s'apprêtent à prendre {catname} en embuscade&nbsp;!","{catname} schlägt auf die Rattenleiche ein und reißt ihr alle Gliedmaßen aus!

Plötzlich hört {he} wütendes Schnattern, das aus den Wänden zu dringen scheint. Die Ratten bereiten einen Angriff vor!","{catname} colpisce il corpo del ratto, smembrandolo!

{catname} sente attraverso le mura il chiacchiericcio dei ratti furibondi che preparano un'imboscata nelle vicinanze!","{catname} destrói o corpo, arrancando membro a membro!
{catname} ouve sons pelas paredes ao redor enquanto ratos furiosos preparam uma emboscada!"
EVENT_DEADRAT_REW3_M,,,,,,,
EVENT_DEADRAT_REW3_F,,,,,,,
EVENT_DEADRAT_REW3_N,,,,,,,
EVENT_DEADRAT_REW4,"With a surprising fervor, {catname} rips apart the poor dead rat, scattering its remains across the room!

The other cats look on in shock at the extremely violent action!
",,"Con un fervor sorprendente, {catname} despedaza la pobre rata muerta y esparce sus restos por el lugar.

¡Los otros gatos contemplan estupefactos esta muestra de violencia extrema!
","Avec une ferveur des plus surprenantes, {catname} déchiquette le pauvre rat mort, répandant ses entrailles un peu partout dans la pièce&nbsp;!

Les autres chats assistent avec stupéfaction à l'extrême violence de son acte&nbsp;!","{catname} ist überraschend begeistert, die arme tote Ratte auseinanderzureißen und verstreut ihre Überreste im ganzen Zimmer!

Die anderen Katzen sehen dem grausamen Schauspiel entsetzt zu!
","Con un fervore sorprendente, {catname} smembra il povero ratto morto, spargendo i suoi resti per la stanza!

Gli altri gatti guardano sconvolti quest'azione di estrema violenza.","Com um fervor surpreendente, {catname} destrói o pobre rato morto, espalhando seus restos pelo cômodo!

Os outros gatos observam em choque a ação de violência extrema!"
EVENT_DEADRAT_REW4_M,,,,,,,
EVENT_DEADRAT_REW4_F,,,,,,,
EVENT_DEADRAT_REW4_N,,,,,,,
EVENT_DEADRAT_REW5,"{catname} rips apart the rat's plump body, devouring the tough but delicious flesh!

Satisfied, {catname} saves some for later.
",,"{catname} despedaza el rechoncho cuerpo de la rata y devora su carne dura pero deliciosa.

Tras saciarse, guarda un poco para más tarde.
","{catname} éventre le corps bien gras du rat et dévore sa chair coriace, mais délicieuse&nbsp;!

L'appétit satisfait, {catname} en garde un peu pour plus tard.","{catname} reißt den leblosen Rattenkörper auseinander und verzehrt ihr zähes, aber schmackhaftes Fleisch!

Zufrieden hebt sich {catname} noch etwas für später auf.
",,"{catname} despedaça o corpo rechonchudo do rato, devorando a carne dura, porém deliciosa!

Com satisfação, {catname} guarda um pouco para mais tarde."
EVENT_DEADRAT_REW5_M,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Soddisfatto, {catname} ne mette da parte un po'.",
EVENT_DEADRAT_REW5_F,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Soddisfatta, {catname} ne mette da parte un po'.",
EVENT_DEADRAT_REW5_N,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Con lo stomaco pieno, {catname} ne mette da parte un po'.",
EVENT_DEADRAT_REW6,"{catname} opens {his} mouth and swallows the rat whole! {He} starts to feel a little funny...

{catname} lets out a startled meow as {his} body mutates into a new shape!",,"¡{catname} abre la boca y se traga la rata entera! Empieza a tener una sensación extraña...

{catname} suelta un maullido de sobresalto ¡y su cuerpo muta y adopta una nueva forma!","{catname} ouvre la bouche et avale le rat tout rond&nbsp;! {He} se sent un peu étrange...

{catname} laisse s'échapper un miaulement d'étonnement avant que son corps ne se mette à muter et prendre une nouvelle forme&nbsp;!","{catname} öffnet {his}en Mund und schluckt die Ratte im Ganzen herunter! {He} fühlt sich auf einmal ganz komisch&nbsp;…

{catname} miaut überrascht, als {his} Körper plötzlich mutiert und eine neue Form annimmt!",,"{catname} abre a boca e engole o rato inteiro, mas começa a sentir algo estranho...

{catname} solta um miado assustado enquanto seu corpo se transforma em uma nova forma!"
EVENT_DEADRAT_REW6_M,,,,,,"{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però a sentirsi un po' strano...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!",
EVENT_DEADRAT_REW6_F,,,,,,"{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però a sentirsi un po' strana...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!",
EVENT_DEADRAT_REW6_N,"{catname} opens their mouth and swallows the rat whole! They start to feel a little funny...

{catname} lets out a startled meow as their body mutates into a new shape!",,"¡{catname} abre la boca y se traga la rata entera! Empieza a tener una sensación extraña...

{catname} suelta un maullido de sobresalto ¡y su cuerpo muta y adopta una nueva forma!",,"{catname} öffnet den Mund, schluckt die Ratte im Ganzen herunter und fühlt sich auf einmal ganz komisch&nbsp;…

{catname} miaut überrascht, mutiert und nimmt plötzlich eine neue Form an!","{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però ad avvertire una strana sensazione...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!","{catname} abre a boca e engole o rato inteiro, mas começa a sentir algo estranho...

{catname} solta um miado assustado enquanto seu corpo se transforma em uma nova forma!"
EVENT_DEADRAT_REW7,"{catname} rashly devours the dead rat without hesitation...

{He} starts to get sick and feels weak!
",,"¡{catname} devora la rata muerta de forma apresurada y sin vacilar!

Empieza a encontrarse mal y se siente débil...
","{catname} dévore le rat en toute hâte sans hésiter...

{He} commence à tomber malade et à se sentir faible...","{catname} verschlingt die tote Ratte ohne zu zögern&nbsp;…

{He} bekommt Bauchschmerzen und fühlt sich ganz schwach!
","{catname} divora precipitosamente il ratto morto senza esitare...

Comincia a sentirsi male e debole!",
EVENT_DEADRAT_REW7_M,,,,,,,
EVENT_DEADRAT_REW7_F,,,,,,,
EVENT_DEADRAT_REW7_N,"{catname} rashly devours the dead rat without hesitation...

They start to get sick and feel weak!
",,"¡{catname} devora la rata muerta de forma apresurada y sin vacilar!

Empieza a encontrarse mal y se siente débil...
",,"{catname} verschlingt die tote Ratte ohne zu zögern&nbsp;…

Es dauert nicht lang, bis {catname} Bauchschmerzen bekommt und sich ganz schwach fühlt!
",,"{catname} devora o rato morto sem hesitar...

Logo chega a sensação de estar ficando doente e a fraqueza!"
EVENT_DEADRAT_REW8,"{catname} gnaws the rat's head off. Its brain is delicious!
",,"{catname} roe la cabeza de la rata. ¡Su cerebro está delicioso!
",{catname} arrache la tête du rat avec ses dents. Sa cervelle est un délice&nbsp;!,"{catname} nagt den Kopf der Ratte ab. Das Gehirn ist besonders lecker!
",{catname} sgranocchia la testa del ratto. Il suo cervello è delizioso!,{catname} arranca a cabeça do rato. O cérebro dele é delicioso!
EVENT_DEADRAT_REW8_M,,,,,,,
EVENT_DEADRAT_REW8_F,,,,,,,
EVENT_DEADRAT_REW8_N,,,,,,,
EVENT_DEADRAT_REW9,"{catname} pulls apart the rat's body and finds money in its stomach!
",,"{catname} desmiembra a la rata ¡y encuentra dinero en su estómago!
",{catname} dissèque le cadavre du rat et trouve de l'argent dans son estomac&nbsp;!,"{catname} wühlt in der Rattenleiche herum und findet Geld im Magen!
",{catname} smembra il corpo del ratto e trova del denaro nel suo stomaco!,{catname} despedaça o corpo do rato e encontra dinheiro em seu estômago!
EVENT_DEADRAT_REW9_M,,,,,,,
EVENT_DEADRAT_REW9_F,,,,,,,
EVENT_DEADRAT_REW9_N,,,,,,,
EVENT_DEADRAT_REW10,"No need to get messy digging around inside, {catname} thinks...

The rat is already a great snack!
",,"{catname} considera que no hace falta ensuciarse hurgando en el interior.

¡La rata ya es un buen piscolabis!
","{catname} se dit qu'il est inutile de se salir en fouillant le cadavre...

Le rat constitue déjà un excellent casse-croûte&nbsp;!","Es ist nicht weiter nötig, in den Innereien herumzustochern, findet {catname}&nbsp;…

Die Ratte war bereits ein ausgezeichneter Snack!
","{catname} riflette e decide che non c'è bisogno di scavare ulteriormente all'interno...

Il ratto è già un ottimo spuntino!","Não é preciso se sujar mexendo lá dentro, pensa {catname}...

O rato já é um ótimo petisco!"
EVENT_DEADRAT_REW10_M,,,,,,,
EVENT_DEADRAT_REW10_F,,,,,,,
EVENT_DEADRAT_REW10_N,,,,,,,
EVENT_DEADRAT_REW11,{catname} discovers an object lodged in the rat's throat and pulls it out...,,{catname} descubre un objeto atascado en la garganta de la rata y lo saca.,{catname} découvre un objet logé dans la gorge du rat et l'en extirpe...,"{catname} entdeckt einen Gegenstand, der im Hals der Ratte feststeckt und zieht ihn hinaus&nbsp;…",{catname} scopre un oggetto incastrato nella gola del ratto e lo estrae...,{catname} descobre um objeto preso na garganta do rato e o retira...
EVENT_DEADRAT_REW11_M,,,,,,,
EVENT_DEADRAT_REW11_F,,,,,,,
EVENT_DEADRAT_REW11_N,,,,,,,
EVENT_DEADRAT_REW12,"{catname} tosses the rat's body around, looking for anything useful.

{He} gets a strange feeling like {he} is being watched and sees several sets of eyes peering at {him} from the darkness…

It's an ambush!",,"{catname} zarandea a la rata en busca de algo útil.

Le da la sensación de que hay alguien observando la escena y advierte varios pares de ojos en la oscuridad...

¡Es un ataque por sorpresa!","{catname} retourne le cadavre du rat dans tous les sens, à la recherche de quelque chose d'utile.

{He} a l'étrange impression de se faire épier et remarque de nombreuses paires d'yeux qui l'observent dans les ténèbres...

C'est une embuscade&nbsp;!","{catname} schleudert die Rattenleiche durch die Gegend und sucht nach etwas Nützlichem.

Plötzlich überkommt {him} das komische Gefühl, dass unzählige Augen {him} aus der Dunkelheit heraus beobachten&nbsp;…

Ein Überfall!",,"{catname} sacode o corpo do rato para todos os lados, procurando algo útil.

Ao sentir a estranha sensação de que alguém está observando, vários pares de olhos surgem brilhando na escuridão…

É uma emboscada!"
EVENT_DEADRAT_REW12_M,,,,,,"{catname} sbatacchia il corpo del ratto, in cerca di qualcosa di utile.

Una strana sensazione lo assale, come se qualcuno lo stesse osservando. Poi vede diversi gruppi di occhi che lo scrutano dall'oscurità...

È un'imboscata!",
