KEY,en,notes,sp,fr,de,it,pt-br
FURNITURE_RARE_FORMAT,Rare {furniturename},,{furniturename} inusual,{furniturename} rare,{furniturename} (Selten),{furniturename} (raro),{furniturename} (raro)
FURNITURE_NAME_POOP,Poop,,Caca,Crotte,Häufchen,Cacca,Cocô
FURNITURE_DESC_POOP,,,,,,,
FURNITURE_NAME_AUTOFEEDER,Autofeeder,"(cut, no need to localize)",Comedero automático,Autofeeder,,,
FURNITURE_DESC_AUTOFEEDER,This item got removed from the game and has no effect. Its a waste of space to keep in your house.,"(cut, no need to localize)","Este objeto ya no está en el juego, de modo que ocupa un espacio innecesario en la casa.",This item got removed from the game and has no effect. Its a waste of space to keep in your house.,,,
FURNITURE_NAME_SPECIAL_FOODBOX,Food Storage Box,,Caja para comida,Boîte de rangement de croquettes,Futterbox,Scatola per il cibo,Caixa de armazenamento de comida
FURNITURE_DESC_SPECIAL_FOODBOX,+40 Max Food,,+40 de máximo de comida,Nourriture max.&nbsp;+40,+40&nbsp;max. Futter,+40 Cibo Massimo,+40 de comida máx.
FURNITURE_NAME_SPECIAL_COMFORTIDOL,Idol of Comfort,,Ídolo de la comodidad,Idole de Bien-être,Idol des Komforts,Idolo del Comfort,Ídolo de conforto
FURNITURE_DESC_SPECIAL_COMFORTIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_APPEALIDOL,Idol of Appeal,,Ídolo del atractivo,Idole d'Attractivité,Idol der Anziehung,Idolo dell'Attrattiva,Ídolo de apelo
FURNITURE_DESC_SPECIAL_APPEALIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_HEALTHIDOL,Idol of Health,,Ídolo de la salud,Idole de Santé,Idol der Gesundheit,Idolo della Salute,Ídolo de saúde
FURNITURE_DESC_SPECIAL_HEALTHIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_EVOLUTIONIDOL,Idol of Evolution ,,Ídolo de la evolución ,Idole d'Évolution,Idol der Evolution ,Idolo dell'Evoluzione,Ídolo de evolução
