KEY,en,notes,sp,fr,de,it,pt-br
KEYWORD_ADRENALINE_NAME,Adrenaline,,Adrenalina,Adrénaline,Adrenalin,Adrenalina,Adrenalina
KEYWORD_ADRENALINE_DESC,"Keeps Exhaustion at 0.
+25% Crit Chance.
+25% Block Chance.",,"Mantiene el agotamiento en 0.
+25 % de probabilidad de crítico.
+25 % de probabilidad de bloqueo.","L'épuisement reste à 0.
Chances de coup critique +25&nbsp;%.
Chances de bloquer +25&nbsp;%.","Erschöpfung bleibt auf 0.
+25&nbsp;% kritische Trefferchance.
+25&nbsp;% Blockwahrscheinlichkeit.","Mantiene la Spossatezza a 0.
+25% probabilità di colpo critico.
+25% probabilità di parata.","Mantém a exaustão em 0.
+25% de chance de crítico.
+25% de chance de bloquear."
KEYWORD_ALLSTATSUP_NAME,All Stats Up,,Aumento total,Hausse de stats,Bonus auf alle Attribute,Aumento delle Statistiche,Todos os atributos aumentados
KEYWORD_ALLSTATSUP_DESC,All Stats increased by {stacks},,Todos los atributos aumentan en {stacks}.,Toutes les stats augmentent de {stacks}.,Alle Attribute um {stacks} erhöht,Tutte le statistiche aumentano di {stacks}.,Todos os atributos aumentados em {stacks}
KEYWORD_ALLSTATSDOWN_NAME,All Stats Down,,Reducción total,Baisse de stats,Malus auf alle Attribute,Diminuzione delle Statistiche,Todos os atributos diminuídos
KEYWORD_ALLSTATSDOWN_DESC,All Stats decreased by {absstacks},,Todos los atributos se reducen en {absstacks}.,Toutes les stats baissent de {stacks}.,Alle Attribute um {absstacks} verringert.,Tutte le statistiche diminuiscono di {absstacks}.,Todos os atributos diminuídos em {absstacks}
KEYWORD_ALPHA_NAME,The Alpha,,Alfa,L'Alpha,Der Alpha,L'Alfa,Alfa
KEYWORD_ALPHA_DESC,This is the Alpha. Certain abilities care about this.,,Es la unidad alfa. Ciertas habilidades le tienen cariño.,"L'Alpha, en chair et en os. Certaines compétences le prennent en compte.",Dies ist der Alpha. Relevant für gewisse Fähigkeiten.,Questo è l'Alfa. Alcune abilità ne tengono conto.,Esta unidade possui o papel de alfa. Isso é importante para certas habilidades.
KEYWORD_ALPHA_DESC_STACKLESS,No effects on its own. Only one unit can be The Alpha. Certain spells and abilities provide bonuses for The Alpha.,,No tiene efectos propios. Tan solo una unidad puede ser alfa. Ciertos hechizos y habilidades ofrecen bonificaciones para el gato alfa.,Aucun effet en soi. Une seule unité peut être l'Alpha. Certains sorts et compétences confèrent des bonus à l'Alpha.,Hat allein keine Wirkung. Nur eine Einheit kann der Alpha sein. Gewisse Zauber und Fähigkeiten verleihen dem Alpha Boni.,Nessun effetto di per sé. Solo un'unità può essere l'Alfa. Alcuni incantesimi e abilità forniscono bonus per l'Alfa.,Nenhum efeito por si só. Apenas uma unidade pode assumir o papel de alfa. Certos encantamentos e habilidades concedem bônus para alfas.
KEYWORD_AMMO_NAME,Ammo,,Munición,Munitions,Munition,Munizioni,Munição
KEYWORD_AMMO_DESC,{stacks} shots left.,,Quedan {stacks} disparos.,Balles qu'il vous reste&nbsp;: {stacks}.,Noch {stacks}&nbsp;Schüsse übrig.,{stacks} colpi rimanenti.,{stacks} disparos restantes.
KEYWORD_AMMO_DESC_STACKLESS,Certain abilities require ammo to use.,,Ciertas habilidades necesitan munición.,Certaines compétences requièrent des munitions.,Gewisse Fähigkeiten benötigen Munition.,Alcune abilità richiedono delle munizioni per essere utilizzate.,Certas habilidades requerem munição para serem utilizadas.
KEYWORD_ATTRACTION_NAME,Attraction,,Atracción,Attraction,Anziehung,Attrazione,Atração
KEYWORD_ATTRACTION_REF,Attraction,,Atracción,Attraction,Anziehung,Attrazione,Atração
KEYWORD_ATTRACTION_DESC_REF,Moves towards {applier} at the start of its turn.,,Se mueve hacia {applier} al inicio del turno.,Avance vers {applier} au début de son tour.,Bewegt sich am Anfang des Zuges auf {applier} zu.,Si muove verso {applier} all'inizio del suo turno.,Move-se na direção de {applier} no início de seu turno.
KEYWORD_ATTRACTION_DESC,The thing attracting you is gone. Does nothing.,,Lo que ejercía la atracción ha desaparecido. No hace nada.,Ce qui vous attirait a disparu. L'effet disparaît également.,"Was auch immer dich angezogen hat, ist nicht mehr da. Hat keine Wirkung.",L'oggetto che ti attrae è sparito. Non succede nulla.,A coisa que está atraindo você se foi. Não faz nada.
KEYWORD_ATTRACTION_DESC_STACKLESS,Moves towards you at the start of its turn.,,Se mueve hacia esta unidad al inicio del turno.,Se déplace en votre direction au début de son tour.,Bewegt sich am Anfang des Zuges auf dich zu.,Si muove verso di te all'inizio del suo turno.,Move-se na sua direção no início de seu turno.
KEYWORD_BACKFLIP_NAME,Backflip,,Mortal hacia atrás,Salto arrière,Rückwärtssalto,Salto Mortale all'Indietro,Mortal para Trás
