KEY,en,notes,sp,fr,de,it,pt-br
//misc,,,,,,,
AREA_NAME_TUTORIAL,The Path,,El camino,La Route,Der Trampelpfad,Il Sentiero,O Caminho
AREA_NAME_HOUSE,Home,,Casa,La Maison,Dein Haus,Casa,Casa
AREA_NAME_ALLEY,The Alley,,El callejón,La Ruelle,Die Gasse,Il Vicolo,O Beco
AREA_NAME_SEWERS,The Sewers,,Las alcantarillas,Les Égouts,Die Kanalisation,Le Fogne,O Esgoto
AREA_NAME_JUNKYARD,The Junkyard,,El desguace,La Décharge,Der Schrottplatz,La Discarica,O Ferro-Velho
AREA_NAME_CAVES,The Caves,,Las cuevas,Les Grottes,Die Höhlen,Le Caverne,As Cavernas
AREA_NAME_BONEYARD,The Boneyard,,El cementerio,Le Cimetière,Der Friedhof,Il Cimitero,O Cemitério
AREA_NAME_MEATWORLD,The Throbbing Domain,,El Dominio Palpitante,Le Domaine lancinant,Das Pulsierende Reich,Il Regno Pulsante,O Domínio Pulsante
AREA_NAME_DESERT,The Desert,,El desierto,Le Désert,Die Wüste,Il Deserto,O Deserto
AREA_NAME_CRATER,The Crater,,El cráter,Le Cratère,Der Krater,Il Cratere,A Cratera
AREA_NAME_BUNKER,The Bunker,,El búnker,Le Bunker,Der Bunker,Il Bunker,O Bunker
AREA_NAME_MOON,The Moon,,La luna,La Lune,Der Mond,La Luna,A Lua
AREA_NAME_CORE,The Core,,El núcleo,Le Noyau,Der Kern,Il Nucleo,O Núcleo
AREA_NAME_DIMENSIONX,The Rift,,La Grieta,La Faille,Der Riss,La Fenditura,A Fissura
AREA_NAME_LAB,The Lab,,El laboratorio,Le Labo,Das Labor,Il Laboratorio,O Laboratório
AREA_NAME_ICEAGE,The Ice Age,,La Edad de Hielo,L'Âge de glace,Die Eiszeit,L'Era Glaciale,A Era do Gelo
AREA_NAME_JURASSIC,The Jurassic,,El Jurásico,Le Jurassique,Der Jura,Il Giurassico,O Jurássico
AREA_NAME_FUTURE,Das Füture,,Das Füture,Das Füture,Die Zukunft,Das Füture,Das Füture
AREA_NAME_THEEND,The End,,El fin,La Fin,Das Ende,La Fine,O Fim
AREA_NAME_ENDOFTIME,The Infinite,,El infinito,L'Infini,Die Unendlichkeit,L'Infinito,O Infinito
AREA_NAME_UNKNOWN,Somewhere,,Algún lugar,L'Ailleurs,Irgendwo,Da Qualche Parte,Algum Lugar
SAVE_FILE_NO_DATA,No Data,,Sin datos,Aucune donnée,Keine Daten,Nessun dato,Sem Dados
,,,,,,,
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_1,Fighting Guillotina,,Luchando contra Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_2,Fighting Guillotina,,Luchando contra Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_3,Fighting Guillotina,,Luchando contra Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina
SAVE_FILE_FIGHT_HOUSEBOSS_PYROPHINA,Fighting Pyrophina,,Luchando contra Pyrophina,Affrontement&nbsp;: Pyrophina,Kampf mit Pyrophina,Combattimento contro Pyrophina,Enfrentando Pyrophina
SAVE_FILE_FIGHT_HOUSEBOSS_ZARATANA,Fighting Zaratana,,Luchando contra Zaratana,Affrontement&nbsp;: Zaratana,Kampf mit Zaratana,Combattimento contro Zaratana,Enfrentando Zaratana
SAVE_FILE_FIGHT_HOUSEBOSS_KAIJUFIGHT,Watching some kaijus duke it out,,Viendo cómo unos kaijus se lían a tortas,Regarde des kaijus se castagner,Kampf zwei riesiger Kaijus,Mentre guardi dei kaiju che se le danno di santa ragione,Vendo alguns kaijus acertarem as contas
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_1,Fighting the C-800,,Luchando contra el C-800,Affrontement&nbsp;: C-800,Kampf mit dem C-800,Combattimento contro il C-800,Enfrentando G-800
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_2,Fighting the C-1000,,Luchando contra el C-1000,Affrontement&nbsp;: C-1000,Kampf mit dem C-1000,Combattimento contro il C-100,Enfrentando G-1000
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_3,Fighting Hitler's Robot Army,,Luchando contra el ejército de robots de Hitler,Affrontement&nbsp;: armée de robots hitlériens,Kampf mit Hitlers Roboterarmee,Combattimento contro l'esercito di robot di Hitler,Enfrentando o exército robótico de Hitler
,,,,,,,
AREA_NAME_ALLEY_BANNER,THE ALLEY,,EL CALLEJÓN,RUELLE,DIE GASSE,IL VICOLO,O BECO
