KEY,en,notes,sp,fr,de,it,pt-br
//beanies_gameintro,,,,,,,
NPC_BEANIES_INTRO_1,[m:veryhappy][s:1.5][b]Science!!![/b][/s],,[m:veryhappy][s:1.5][b]¡¡¡Ciencia!!![/b][/s],[m:veryhappy][s:1.5][b]La Science&nbsp;!!![/b][/s],[m:veryhappy][s:1.5][b]Wissenschaft!!![/b][/s],[m:veryhappy][s:1.5][b]Scienza!!![/b][/s],[m:veryhappy][s:1.5][b]Ciência!!![/b][/s]
NPC_BEANIES_INTRO_2,[m:happy]Scared you didn't I?,,[m:happy]¿A que te he asustado?,"[m:happy]Je t'ai fait peur, non&nbsp;?","[m:happy]Na, hab ich dich erschreckt?","[m:happy]Ti ho fatto paura, vero?","[m:happy]Te assustei, não foi?"
NPC_BEANIES_INTRO_3,[m:default]I know how scary a buzzword like science can be these days...,,[m:default]Sé que las palabras rocambolescas como «ciencia» pueden ser terroríficas hoy en día...,[m:default]Je sais comme un mot aussi puissant que celui-ci peut effrayer par les temps qui courent...,"[m:default]Ich weiß, ich weiß, heutzutage gibt es genug Schwurbler, die Angst vor diesem Wort haben&nbsp;…","[m:default]So quanto possa essere spaventosa una parola come ""scienza"" di questi tempi...",[m:default]Eu sei como uma palavra da moda como ciência pode ser assustadora hoje em dia...
NPC_BEANIES_INTRO_4,"[m:happy]But trust me when I say,
science can actually be a good thing sometimes.",,"[m:happy]Pero créeme:
la ciencia puede ser algo positivo a veces.","[m:happy]Mais, fais-moi confiance, quand je dis ça&nbsp;: la science peut parfois vraiment être une bonne chose.","[m:happy]Aber du kannst mir glauben, die Wissenschaft kann etwas Großartiges sein.","[m:happy]Ma fidati di me quando dico che
a volte la scienza può essere una buona cosa.","[m:happy]Mas acredite em mim, a ciência pode ser uma coisa boa de vez em quando."
NPC_BEANIES_INTRO_5,[m:default]Take this table for instance.,,"[m:default]Mira esta mesa, por ejemplo.","[m:default]Regarde cette table, par exemple.",[m:default]Nimm zum Beispiel diesen Tisch hier.,"[m:default]Prendi questo tavolo, per esempio.","[m:default]Considere esta mesa, por exemplo."
NPC_BEANIES_INTRO_6,"A science made this table
and the floor it sits on!",,"¡Una ciencia ha creado esta mesa
y el suelo sobre el que está!","C'est une science qui a fabriqué cette table
et le sol sur lequel elle repose&nbsp;!","Ohne die Wissenschaft hätten wir ihn nicht, geschweige denn den Boden, auf dem er steht!","È stata la scienza a creare questo tavolo
e il pavimento su cui si poggia!",Uma ciência produziu essa mesa e o piso sobre o qual ela está!
NPC_BEANIES_INTRO_7,[m:whispering]There are even people out there who believe that a science made you and I!,,[m:whispering]Incluso hay gente por ahí que cree que una ciencia nos ha creado a ti y a mí.,"[m:whispering]Il y a même des gens dans le monde qui pensent que toi, et moi aussi, c'est une science qui nous a fait&nbsp;!","[m:whispering]Man munkelt sogar, dass es ohne die Wissenschaft weder dich noch mich gäbe! Muss man wissen!",[m:whispering]C'è persino chi crede che la scienza abbia creato te e me!,"[m:whispering]Existem até mesmo pessoas que acreditam que uma ciência nos criou, eu e você!"
NPC_BEANIES_INTRO_8,"[m:default]But I digress,
the point I was trying to make here is that cats are a science too...",,"[m:default]Ay, que me voy por las ramas.
Lo que intentaba decir es que los gatos también son una ciencia...","[m:default]Mais, je me perds. Ce que je voulais dire c'est que pour les chats, c'est la même chose...","[m:default]Aber ich schweife ab, worauf ich eigentlich hinauswollte, war, dass auch Katzen eine Wissenschaft für sich sind&nbsp;…","[m:default]Ma sto divagando.
Quello che stavo cercando di dire è che anche i gatti sono una scienza...","[m:default]Mas isso é outra história.
A questão aqui é que gatos também são uma ciência..."
NPC_BEANIES_INTRO_9,"[m:winking]A science that I
[b]Thomas A. Beanies[/b]
invented!",,"[m:winking]Una ciencia que yo,
[b]Thomas A. Beanies[/b]
he inventado.","[m:winking]Et cette science, c'est moi, [b]Thomas A. Beanies[/b], qui l'ai inventée&nbsp;!","[m:winking]Eine Wissenschaft, die ich,
[b]Thomas A. Beanies,[/b]
erfunden habe!","[m:winking]Una scienza che ho
inventato io,
[b]Thomas A. Beanies[/b]!","[m:winking]Uma ciência que eu,
[b]Thomas A. Beanies[/b],
inventou!"
NPC_BEANIES_INTRO_10,[m:default]But what do you have to do with all of this?,,[m:default]Pero ¿qué tienes tú que ver con todo esto?,"[m:default]Du coup, tu te demandes ce que tu viens faire dans tout ça&nbsp;?",[m:default]Was du damit zu tun hast?,[m:default]Cosa c'entri tu con tutto questo?,[m:default]Mas o que você tem a ver com tudo isso?
NPC_BEANIES_INTRO_11,"[m:default]Well, word on the street is you're a bit of a felineologist yourself.",,"[m:default]Bueno, se rumorea que a ti también te interesan los asuntos de... felinología.","[m:default]Eh bien, il paraît que toi aussi tu es un genre de félinologue.","[m:default]Na ja, Gerüchten zufolge bist auch du ganz schön felinophil.","[m:default]Beh, si dice in giro che la felinologia sia il tuo campo.","[m:default]Bem, estão dizendo por aí que você entende bastante de gatos."
