KEY,en,notes,sp,fr,de,it,pt-br
PASSIVE_SELFASSURED_NAME,Self-Assured,,Confianza,Assurance,Selbstsicher,Autostima,Autoconfiança
PASSIVE_SELFASSURED_DESC,Gain a random stat up whenever you down a unit.,,Obtiene aumento de un atributo al azar cuando abate a una unidad.,Stat aléatoire&nbsp;+1&nbsp;quand vous tuez une unité.,"Erhalte einen Bonus auf ein zufälliges Attribut, wenn du eine Einheit besiegst.",Ottieni un aumento casuale di una statistica ogni volta che mandi KO un'unità.,Obtenha um atributo aleatório aumentado ao deixar uma unidade inconsciente.
PASSIVE_SELFASSURED2_DESC,Gain All Stats Up whenever you down a unit.,,Obtiene aumento total cuando abate a una unidad.,Hausse de stats quand vous tuez une unité.,"Erhalte einen Bonus auf alle Attribute, wenn du eine Einheit besiegst.",Ottieni Aumento delle Statistiche ogni volta che mandi KO un'unità.,Obtenha todos os atributos aumentados ao deixar uma unidade inconsciente.
PASSIVE_LUCKDRAIN_NAME,Luck Drain,,Chupasuerte,Drain de chances,Glück absaugen,Carico di Fortuna,Dreno de Sorte
PASSIVE_LUCKDRAIN_DESC,Gain +1 [img:lck] whenever a unit is downed.,,Obtiene +1 [img:lck] cuando una unidad es abatida.,[img:lck]&nbsp;+1&nbsp;quand une unité est abattue.,"Erhalte +1&nbsp;[img:lck], wenn eine Einheit besiegt wird.",Ottieni +1 alla [img:lck] ogni volta che un'unità viene messa KO.,Obtenha +1 de [img:lck] sempre que uma unidade ficar inconsciente.
PASSIVE_LUCKDRAIN2_DESC,"Gain +1 [img:lck] whenever a unit is downed.
Gain an extra +2 [img:lck] whenever YOU down a unit.",,"Obtiene +1 [img:lck] cuando una unidad es abatida.
Obtiene +2 [img:lck] extra cuando es esta unidad la que abate a otra.",[img:lck]&nbsp;+1&nbsp;quand une unité est abattue. [img:lck]&nbsp;+2&nbsp;supplémentaires quand VOUS tuez une unité.,"Erhalte +1&nbsp;[img:lck], wenn eine Einheit besiegt wird.
Erhalte zusätzlich +2&nbsp;[img:lck], wenn DU eine Einheit besiegst.","Ottieni +1 alla [img:lck] ogni volta che un'unità viene messa KO.
Ottieni un ulteriore +2 alla [img:lck] ogni volta che TU mandi KO un'unità.","Obtenha +1 de [img:lck] sempre que uma unidade ficar inconsciente.
Obtenha +2 de [img:lck] adicionais sempre que VOCÊ deixar uma unidade inconsciente."
PASSIVE_INFESTED_NAME,Infested,,Infestación,Infestation,Verseucht,Infestazione,Infestação
PASSIVE_INFESTED_DESC,50% chance to spawn a flea familiar when you end your turn.,,50 % de probabilidad de generar un familiar pulga al final del turno.,50&nbsp;% de chances de faire apparaître une puce de compagnie à la fin de votre tour.,"50%ige Wahrscheinlichkeit, dass ein Flohbegleiter erscheint, wenn du deinen Zug beendest.",50% di probabilità di generare un famiglio pulce alla fine del tuo turno.,50% de chance de gerar um familiar pulga ao finalizar seu turno.
PASSIVE_INFESTED2_DESC,"Spawn 2-3 fleas at the start of each battle.
50% chance to spawn a flea familiar when you end your turn.",,"Genera 2-3 pulgas al inicio de cada combate.
50 % de probabilidad de generar un familiar pulga al final del turno.",Fait apparaître 2&nbsp;à 3&nbsp;puces au début de chaque combat. 50&nbsp;% de chances de faire apparaître une puce de compagnie à la fin de votre tour.,"Lasse am Anfang jedes Kampfes 2&nbsp;– 3 Flöhe erscheinen.
50%ige Wahrscheinlichkeit, dass ein Flohbegleiter erscheint, wenn du deinen Zug beendest.","Generi 2-3 pulci all'inizio di ogni battaglia.
50% di probabilità di generare un famiglio Pulce alla fine del tuo turno.","Gere 2-3 pulgas no início de cada batalha.
50% de chance de gerar um familiar pulga ao finalizar seu turno."
PASSIVE_WORMS_NAME,Worms,,Lombrices,Asticots,Madig,Vermi,Vermes
PASSIVE_WORMS_DESC,50% chance to spawn a maggot familiar when you end your turn.,,50 % de probabilidad de generar un familiar gusano al final del turno.,50&nbsp;% de chances de faire apparaître un asticot de compagnie à la fin de votre tour.,"50%ige Wahrscheinlichkeit, dass ein Madenbegleiter erscheint, wenn du deinen Zug beendest.",50% di probabilità di generare un famiglio Larva alla fine del tuo turno.,50% de chance de gerar um familiar verme ao finalizar seu turno.
PASSIVE_WORMS2_DESC,50% chance to spawn a mutated maggot familiar when you end your turn.,,50 % de probabilidad de generar un familiar gusano mutado al final del turno.,50&nbsp;% de chances de faire apparaître un asticot de compagnie mutant à la fin de votre tour.,"50%ige Wahrscheinlichkeit, dass ein mutierter Madenbegleiter erscheint, wenn du deinen Zug beendest.",50% di probabilità di generare un famiglio Larva mutato alla fine del tuo turno.,50% de chance de gerar um familiar verme com mutações ao finalizar seu turno.
