KEY,en,notes,sp,fr,de,it,pt-br
TEAMNAME_FORMAT,The {Adjective} {Nouns},"one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots",Los {Nouns} {Adjective},Les {Nouns} {Adjective},Die {Adjective} {Nouns},{Nouns} {Adjective},Os {Nouns} {Adjective}
TEAMNAME_FORMAT2,{Adjective} {Nouns},"if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one",{Nouns} {Adjective},{Nouns} {Adjective},Die {Adjective}-{Nouns},{Adjective} {Nouns},{Nouns} {Adjective}
,,"if more than 2 formats are needed for a language, I can add more (just let me know).",,,,,
,,"nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")",,,,,
TEAMNAME_ADJECTIVE_FIGHTER0,Strong,"these do not need to be strictly literal translations, you can be creative with them",Fuertes,forts|fortes,Starken,Forti,Fortes
TEAMNAME_ADJECTIVE_FIGHTER1,Dumb,,Tontos,idiots|idiotes,Blöden,Tontoloni|Tontolone,Burros
TEAMNAME_ADJECTIVE_FIGHTER2,Powerful,,Poderosos,puissants|puissantes,Garstigen,Potenti,Poderosos
TEAMNAME_ADJECTIVE_FIGHTER3,Mighty,,Imponentes,vaillants|vaillantes,Mächtigen,Possenti,Potentes
TEAMNAME_ADJECTIVE_FIGHTER4,Elite,,de Élite,d'élite,format2|Elite,D'élite,de Elite
TEAMNAME_ADJECTIVE_FIGHTER5,Swol,,Cachas,musclés|musclées,Pumpenden,Pompati|Pompate,Inchados
TEAMNAME_ADJECTIVE_FIGHTER6,Alpha,,Alfa,mâles alpha|femelles alpha,format2|Alpha,Alfa,Alfas
TEAMNAME_ADJECTIVE_FIGHTER7,Punchy,,Contundentes,percutants|percutantes,Schlagfertigen,Bizzosi|Bizzose,Impactantes
TEAMNAME_ADJECTIVE_FIGHTER8,Bruised,,Magullados,amochés|amochées,Verprellten,Lividi|Livide,Contundidos
