KEY,en,notes,sp,fr,de,it,pt-br
WEATHER_NONE_NAME,Clear Skies,,Cielos despejados,Ciel dégagé,Klarer Himmel,Cielo Sereno,Céu limpo
WEATHER_NONE_DESC,There are no weather effects.,,No hay efectos meteorológicos.,Aucun effet météorologique.,Es sind keine Wettereffekte aktiv.,Nessun effetto meteorologico.,Nenhum efeito de clima.
WEATHER_FOG_NAME,Fog,,Niebla,Brouillard,Nebel,Nebbia,Neblina
WEATHER_FOG_DESC,All attacks and abilities have a +10% chance to miss.,,Todos los ataques y habilidades tienen +10 % de probabilidad de fallar.,+ 10 % de risque d'échec pour toutes les attaques et compétences.,"Alle Angriffe und Fähigkeiten besitzen eine Wahrscheinlichkeit von +10&nbsp;%, nicht zu treffen.",Tutti gli attacchi e le abilità hanno un +10% di probabilità di mancare il bersaglio.,Todos os ataques e habilidades possuem 10% de chance de errar.
WEATHER_RAIN_NAME,Rain,,Lluvia,Pluie,Regen,Pioggia,Chuva
WEATHER_RAIN_DESC,Persistent Water Element.,,Elemento de agua persistente.,Eau persistante.,Durchgängiger Wassereffekt.,Elemento acqua persistente.,Um elemento persistente de água.
WEATHER_HEAVYRAIN_NAME,Heavy Rain,,Lluvia torrencial,Forte pluie,Starkregen,Pioggia Intensa,Chuva pesada
WEATHER_HEAVYRAIN_DESC,Persistent Water Element. There are extra water tiles in every battle.,,Elemento de agua persistente. Hay casillas de agua extras en todos los combates.,Eau persistante. Des cases d'eau supplémentaires apparaissent à chaque combat.,Durchgängiger Wassereffekt. In jedem Kampf sind zusätzliche Wasserfelder vorhanden.,Elemento acqua persistente. In ogni battaglia sono presenti più caselle d'acqua.,Um elemento persistente de água. Há espaços adicionais de água em cada batalha.
WEATHER_WINDY_NAME,Windy,,Viento,Vent,Wind,Vento,Vento
WEATHER_WINDY_DESC,"At the end of each round, wind blows everything 1 space in a random direction.",,"Al final de cada ronda, el viento lo mueve todo 1 espacio hacia una dirección al azar.","À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire.",Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung.,"Alla fine di ogni round, il vento fa spostare tutto di 1 spazio in una direzione casuale.","No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória."
WEATHER_SANDSTORM_NAME,Sandstorm,,Tormenta de arena,Tempête de sable,Sandsturm,Tempesta di Sabbia,Tempestade de areia
WEATHER_SANDSTORM_DESC,"At the end of each round, damages everything by 1.",,"Al final de cada ronda, inflige 1 de daño a todo.","À la fin de chaque manche, inflige 1 point de dégât partout.",Am Ende jeder Runde erleidet jede Einheit 1&nbsp;Schaden.,"Alla fine di ogni round, infligge 1 di danno a tutto.","No final de cada rodada, causa 1 de dano a tudo."
WEATHER_OVERGROWTH_NAME,Overgrowth,,Vegetación,Verdure,Überwucherung,Ipercrescita,Vegetação
WEATHER_OVERGROWTH_DESC,There are extra tall grass and bramble tiles in every battle.,,Hay casillas de hierba alta y zarzas extras en todos los combates.,Des cases de hautes herbes et de ronces supplémentaires apparaissent à chaque combat.,In jedem Kampf sind zusätzliche Felder vorhanden: Hohes Gras und Dornengestrüpp.,In ogni battaglia sono presenti più caselle con erba alta e rovi.,Há espaços adicionais de grama alta e espinheiros em cada batalha.
WEATHER_EARTHQUAKE_NAME,Earthquake,,Terremoto,Séisme,Erdbeben,Terremoto,Terremoto
WEATHER_EARTHQUAKE_DESC,There was an earthquake! Objects in each battle have been destroyed and there are rocks everywhere!,,¡Se ha producido un terremoto! Se han destruido los objetos de todos los combates y hay rocas por todas partes.,Il y a eu un tremblement de terre ! Les objets de chaque combat ont été détruits et il y a des pierres partout !,Es gab ein Erdbeben! In jedem Kampf wurden Objekte zerstört und überall sind Steine!,C'è stato un terremoto! Gli oggetti in ogni battaglia sono stati distrutti e ci sono rocce ovunque!,Houve um terremoto! Objetos foram destruídos nas batalhas e há pedras por toda parte!
WEATHER_WILDFIRE_NAME,Wildfire,,Incendio,Incendie,Flächenbrand,Incendio violento,Incêndio
WEATHER_WILDFIRE_DESC,There is fire everywhere!,,¡Hay fuego por todas partes!,Il y a du feu partout !,Überall brennt es!,C'è fuoco ovunque!,Há fogo por toda parte!
WEATHER_HEATWAVE_NAME,Heat Wave,,Ola de calor,Vague de chaleur,Hitzewelle,Ondata di Caldo,Onda de calor
WEATHER_HEATWAVE_DESC,Cats do not heal after battle. All heals are reduced by 1. Can be mitigated with water.,,Los gatos no se curan tras los combates. Todas las curaciones se reducen en 1. Se puede mitigar con agua.,Les chats ne se soignent pas après un combat. -1 à tous les soins. L'effet peut être atténué avec de l'eau.,Katzen stellen nach dem Kampf keine Gesundheit wieder her. Alle Heilungen sind um 1 reduziert. Kann mit Wasser entgegengewirkt werden.,I gatti non guariscono dopo la battaglia. Tutte le cure sono ridotte di 1. L'effetto può essere attenuato con acqua.,Gatos não são curados após a batalha. Todas as curas são reduzidas em 1. Pode ser mitigada com água.
WEATHER_SNOW_NAME,Snow,,Nieve,Neige,Schnee,Neve,Neve
WEATHER_SNOW_DESC,Persistent Ice Element.,,Elemento de hielo persistente.,Glace persistante.,Durchgängiger Eiseffekt.,Elemento ghiaccio persistente.,Um elemento persistente de neve.
WEATHER_ACIDRAIN_NAME,Acid Rain,,Lluvia ácida,Pluie acide,Säureregen,Pioggia Acida,Chuva ácida
WEATHER_ACIDRAIN_DESC,"At the end of each round, damages everything by 2 with a chance to lower a random stat as well.",,"Al final de cada ronda, inflige 2 de daño a todo y tiene una probabilidad de reducir un atributo al azar.","À la fin de chaque manche, inflige 2 points de dégât partout avec une chance de réduire une stat aléatoire.",Am Ende jeder Runde erleidet jede Einheit 2 Schaden. Außerdem kann ein zufälliges Attribut sinken.,"Alla fine di ogni round, infligge 2 di danno a tutto e ha anche una probabilità di abbassare una statistica casuale.","No final de cada rodada, causa 2 de dano a tudo com uma chance de diminuir um atributo aleatório."
WEATHER_METEORS_NAME,Meteor Shower,,Lluvia de meteoritos,Pluie de météorites,Meteorschauer,Pioggia di Meteore,Chuva de meteoros
WEATHER_METEORS_DESC,After each turn there's a chance for a flaming meteor to fall onto a random tile.,,"Después de cada turno, hay una probabilidad de que caiga un meteorito en llamas en una casilla al azar.","Après chaque tour, une météorite en flammes risque de tomber sur une case aléatoire.","Nach jedem Zug besteht eine gewisse Wahrscheinlichkeit, dass ein brennender Meteorit auf ein zufälliges Feld fällt.",Dopo ogni turno c'è una probabilità che una meteora infuocata cada su una casella casuale.,"Após cada turno, há uma chance de um meteoro flamejante cair em um espaço aleatório."
WEATHER_THUNDERSTORM_NAME,Thunderstorm,,Tormenta eléctrica,Orage,Gewitter,Temporale,Tempestade
WEATHER_THUNDERSTORM_DESC,"Persistent Water Element. At the end of each round, wind blows everything 1 space in a random direction. After each turn, there's a chance for a random lightning strike.",,"Elemento de agua persistente. Al final de cada ronda, el viento lo mueve todo 1 espacio hacia una dirección al azar. Después de cada turno, hay una probabilidad de que caiga un rayo al azar.","Eau persistante. À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire. Après chaque tour, un éclair risque de frapper.",Durchgängiger Wassereffekt. Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung. Nach jedem Zug besteht eine gewisse Wahrscheinlichkeit für einen zufälligen Blitzeinschlag.,"Elemento acqua persistente. Alla fine di ogni round, il vento sposta tutto di 1 spazio in una direzione casuale. Dopo ogni turno, c'è una probabilità che si verifichi un fulmine casuale.","Um elemento persistente de água. No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória. Após cada turno, há uma chance de um raio aleatório."
WEATHER_FLASHFLOOD_NAME,Flash Flood,,Riada,Crue éclair,Sturzflut,Inondazione Improvvisa,Inundação
WEATHER_FLASHFLOOD_DESC,Persistent Water Element. There are a ton of extra water tiles in every battle.,,Elemento de agua persistente. Hay un montón de casillas de agua extras en todos los combates.,Eau persistante. De nombreuses cases d'eau supplémentaires apparaissent à chaque combat.,Durchgängiger Wassereffekt. In jedem Kampf sind jede Menge zusätzliche Wasserfelder vorhanden.,Elemento acqua persistente. In ogni battaglia ci sono tantissime caselle d'acqua in più.,Um elemento persistente de água. Há muitos espaços adicionais de água em cada batalha.
WEATHER_TRASHDAY_NAME,Trash Day,,Día de sacar la basura,Jour des poubelles,Kehrwoche,Giorno della Raccolta della Spazzatura,Dia do lixo
WEATHER_TRASHDAY_DESC,There is extra junk in every battle.,,Hay desechos extras en todos los combates.,Des détritus supplémentaires apparaissent à chaque combat.,In jedem Kampf liegt zusätzlicher Müll herum.,In ogni battaglia c'è più ciarpame.,Há lixo adicional em cada batalha.
WEATHER_FROGS_NAME,Raining Frogs,,Lluvia de ranas,Pluie de grenouilles,Froschregen,Pioggia di Rane,Chuva de sapos
WEATHER_FROGS_DESC,There are extra neutral frogs in every battle.,,Hay ranas neutrales extras en todos los combates.,Des grenouilles neutres supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen neutrale Frösche auf.,In ogni battaglia ci sono più rane neutrali.,Há sapos neutros adicionais em cada batalha.
WEATHER_BLOCKAGE_NAME,Pipe Blockage,,Bloqueo de tuberías,Canalisations bouchées,Verstopfte Rohre,Tubi Ostruiti,Entupimento de cano
WEATHER_BLOCKAGE_DESC,There is extra poop and sewage in every battle.,,Hay cacas y aguas residuales extras en todos los combates.,Des excréments et eaux usées supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen Häufchen und Ekelschleim auf.,In ogni battaglia ci sono più cacca e liquami.,Há cocô e esgoto adicionais em cada batalha.
WEATHER_PAYDAY_NAME,Pay Day,,Día de pago,Jour de paye,Zahltag,Giorno di Paga,Dia de pagamento
WEATHER_PAYDAY_DESC,There are extra coins in every battle.,,Hay monedas extras en todos los combates.,Des pièces supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen zusätzliche Münzen auf.,In ogni battaglia ci sono più monete.,Há moedas adicionais em cada batalha.
WEATHER_HUNTING_NAME,Hunting Season,,Temporada de caza,Saison de chasse,Jagdsaison,Stagione di Caccia,Temporada de caça
WEATHER_HUNTING_DESC,There are extra bear traps in every battle.,,Hay cepos para osos extras en todos los combates.,Des pièges à ours supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen zusätzlichen Bärenfallen auf.,In ogni battaglia ci sono più trappole per orsi.,Há armadilhas de urso adicionais em cada batalha.
WEATHER_RESTLESS_NAME,Restless Dead,,Muertos inquietos,Éveil des morts,Rastlose Leichen,Morti Inquieti,Mortos despertos
WEATHER_RESTLESS_DESC,Zombies spawn at the end of each round.,,Se generan zombis al final de cada ronda.,Des zombies apparaissent à la fin de chaque manche.,Am Ende jeder Runde erscheinen Zombies.,Degli zombie compaiono alla fine di ogni round.,Zumbis surgem no final de cada rodada.
WEATHER_FIREFLY_NAME,Firefly Swarm,,Enjambre de luciérnagas,Essaim de lucioles,Glühwürmchenschwarm,Sciame di Lucciole,Enxame de vaga-lumes
WEATHER_FIREFLY_DESC,All allies have +2 luck.,,Todos los aliados tienen +2 de suerte.,Tous les alliés bénéficient de Chance +2.,Alle Verbündeten haben +2&nbsp;Glück.,Tutti gli alleati ricevono +2 alla fortuna.,Todos os aliados possuem +2 de sorte.
WEATHER_BUTTERFLY_NAME,Butterfly Swarm,,Enjambre de mariposas,Essaim de papillons,Schmetterlingsschwarm,Sciame di Farfalle,Enxame de borboletas
WEATHER_BUTTERFLY_DESC,All allies have +2 luck.,,Todos los aliados tienen +2 de suerte.,Tous les alliés bénéficient de Chance +2.,Alle Verbündeten haben +2&nbsp;Glück.,Tutti gli alleati ricevono +2 alla fortuna.,Todos os aliados possuem +2 de sorte.
WEATHER_FLYSWARM_NAME,Fly Swarm,,Enjambre de moscas,Essaim de mouches,Fliegenschwarm,Sciame di Mosche,Enxame de moscas
